COVID-19 Tägliches Lagebild                                                     x

Stand:                                                         17.11.20 10:00


Aspekt                                                                              Anzahl


Bestätigte Neuinfektionen seit der letzten Lagemeldung                               11

Gesamtzahl der bisher Infizierten mit Laborbestätigung                               709

Patienten in stationärer Behandlung - Erkrankung an COVID19                           9

Patienten in stationärer Behandlung - Erkrankung mit COVID19                          6

Verstorbene an COVID19                                                               10

Verstorbene mit COVID19                                                               8

Genesene seit der letzten Lagemeldung (keine Erfassung am Wochenende)                15

Gesamtzahl der Genesenen                                                             584

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                                   25

7-Tage-Inzidenz pro 100.000 Einwohner                                                92,9



Quarantänefälle                                                                     Anzahl

aktive positive Fälle                                                                107

Verdachtsfälle (keine Erfassung am Wochenende)                                       449
Infizierte nach
Gemeinden / Ortsteilen                        aktive positive Fälle
98530 Dillstädt                                                  2
98544 Zella-Mehlis                                              11
98547 Kühndorf                                                   2
98547 Schwarza                                                   1
98574 Schmalkalden                                               5
98574 Schmalkalden / OT Möckers                                  1
98574 Schmalkalden / OT Wernshausen                              1
98587 Steinbach-Hallenberg                                       1
98587 Steinbach-Hallenberg / OT Oberschönau                      1
98587 Steinbach-Hallenberg / OT Rotterode                        1
98590 Rosa                                                       1
98590 Roßdorf                                                    1
98590 Schwallungen / OT Schwarzbach                              1
98590 Schwallungen / OT Zillbach                                 2
98593 Floh-Seligenthal / OT Hohleborn                            1
98596 Brotterode-Trusetal                                        9
98596 Brotterode-Trusetal / OT Trusetal                          2
98597 Breitungen                                                 1
98597 Fambach                                                    2
98617 Belrieth                                                   3
98617 Leutersdorf                                                1
98617 Meiningen                                                 19
98617 Meiningen / OT Walldorf                                    2
98617 Neubrunn                                                   1
98617 Obermaßfeld-Grimmenthal                                    1
98617 Untermaßfeld                                               2
98617 Utendorf                                                   5
98617 Vachdorf                                                   2
98631 Grabfeld / OT Bauerbach                                    1
98631 Grabfeld / OT Berkach                                      1
98631 Grabfeld / OT Bibra                                        2
98631 Grabfeld / OT Jüchsen                                     10
98631 Grabfeld / OT Queienfeld                                   1
98631 Grabfeld / OT Wölfershausen                                2
98634 Wasungen                                                   7
98634 Wasungen / OT Unterkatz                                    1
Gesamtergebnis                                                 107

