Landkreis Schmalkalden-Meiningen
Mittwoch, 09. Dezember 2020
COVID-19 (Coronavirus SARS-CoV-2)
Tägliches Lagebild

Stand:                                                   09.12.20 10:00


Aspekt                                                                          Anzahl

Bestätigte Neuinfektionen seit der letzten Lagemeldung                           22

Gesamtzahl der bisher Infizierten mit Laborbestätigung                          1414

Patienten in stationärer Behandlung - Erkrankung an COVID19                      25

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     30

Verstorbene an COVID19                                                           19

Verstorbene mit COVID19                                                          12

Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am Wochenende)    25

Gesamtzahl der Genesenen                                                        1140

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                               22

7-Tage-Inzidenz pro 100.000 Einwohner                                           168,9



Quarantänefälle                                                                 Anzahl

aktive positive Fälle                                                            243

Verdachtsfälle (nur teilweise Erfassung am Wochenende)                           927



Anmerkung: *Die Zahl der COVID-19-Test bezieht sich
ausschließlich auf die Tests, die durch das
Gesundheitsamt durchgeführt wurden. Die Anzahl der
durch Arztpraxen, Kliniken, etc. durchgeführten Tests
liegen nicht vor.
Infizierte nach

Gemeinden / Ortsteilen                              aktive positive Fälle

36452 Kaltennordheim                                                   3

36452 Kaltennordheim / OT Aschenhausen                                 1

36452 Kaltennordheim / OT Klings                                       2

98530 Dillstädt                                                        2

98544 Zella-Mehlis                                                    15

98544 Zella-Mehlis (Quarantäneort: 98527 Suhl)                         1

98544 Zella-Mehlis / OT Benshausen                                     4

98547 Christes                                                         1

98547 Schwarza                                                         7

98574 Schmalkalden                                                     8

98574 Schmalkalden / OT Asbach                                         1

98574 Schmalkalden / OT Mittelschmalkalden                             1

98574 Schmalkalden / OT Möckers                                        3

98574 Schmalkalden / OT Springstille                                   1

98574 Schmalkalden / OT Wernshausen                                    5

98587 Steinbach-Hallenberg                                            22

98587 Steinbach-Hallenberg / OT Herges-Hallenberg                      1

98587 Steinbach-Hallenberg / OT Rotterode                              5

98587 Steinbach-Hallenberg / OT Unterschönau                           3

98587 Steinbach-Hallenberg / OT Viernau                               10

98590 Schwallungen                                                     3

98590 Schwallungen / OT Zillbach                                       1

98593 Floh-Seligenthal                                                 4

98593 Floh-Seligenthal / OT Kleinschmalkalden                          2

98593 Floh-Seligenthal / OT Struth-Helmershof                          7

98596 Brotterode-Trusetal                                              8
98597 Breitungen                                   5

98597 Fambach                                      6

98597 Fambach / OT Heßles                          6

98617 Einhausen                                    1

98617 Ellingshausen                                1

98617 Meiningen                                   39

98617 Meiningen / OT Dreißigacker                  2

98617 Meiningen / OT Dreißigacker (Qu.: Coburg)    1

98617 Meiningen / OT Herpf                         2

98617 Meiningen / OT Walldorf                      6

98617 Obermaßfeld-Grimmenthal                      1

98617 Rhönblick / OT Bettenhausen                  1

98617 Rhönblick / OT Helmershausen                 1

98617 Rhönblick / OT Seeba                         1

98617 Ritschenhausen                               2

98617 Untermaßfeld                                 4

98631 Grabfeld / OT Behrungen                      2

98631 Grabfeld / OT Exdorf                         3

98631 Grabfeld / OT Jüchsen                       11

98631 Grabfeld / OT Nordheim                       1

98631 Grabfeld / OT Obendorf                       1

98631 Grabfeld / OT Queienfeld                     3

98631 Grabfeld / OT Wölfershausen                  1

98634 Frankenheim                                  1

98634 Mehmels                                      1

98634 Oberweid                                     3

98634 Wasungen                                    12

98634 Wasungen / OT Metzels                        1
98634 Wasungen / OT Oepfershausen     1

98639 Rippershausen                   2

Gesamtergebnis                      243

