Landkreis Schmalkalden-Meiningen
Freitag, 11. Dezember 2020

COVID-19 (Coronavirus SARS-CoV-2)
Tägliches Lagebild

Stand:                                             11.12.20 10:00


Aspekt                                                                          Anzahl

Bestätigte Neuinfektionen seit der letzten Lagemeldung                           85

Gesamtzahl der bisher Infizierten mit Laborbestätigung                          1557

Patienten in stationärer Behandlung - Erkrankung an COVID19                      13

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     31

Verstorbene an COVID19                                                           22

Verstorbene mit COVID19                                                          12


Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am Wochenende)    57

Gesamtzahl der Genesenen                                                        1230

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                               36

7-Tage-Inzidenz pro 100.000 Einwohner                                           203,3



Quarantänefälle                                                                 Anzahl

aktive positive Fälle                                                            293

Verdachtsfälle (nur teilweise Erfassung am Wochenende)                          1056



Anmerkung: *Die Zahl der COVID-19-Test bezieht sich
ausschließlich auf die Tests, die durch das Gesundheitsamt
durchgeführt wurden. Die Anzahl der durch Arztpraxen,
Kliniken, etc. durchgeführten Tests liegen nicht vor.
Infizierte nach

                                          aktive positive
Gemeinden / Ortsteilen                    Fälle

Breitungen                                              5

Brotterode-Trusetal                                    14

Christes                                                2

Dillstädt                                               2

Einhausen                                               2

Ellingshausen                                           1

Fambach                                                 8

Fambach / OT Heßles                                     5

Floh-Seligenthal                                       13

Floh-Seligenthal / OT Kleinschmalkalden                 2

Floh-Seligenthal / OT Struth-Helmershof                 2

Frankenheim                                             2

Grabfeld / OT Bauerbach                                 1

Grabfeld / OT Behrungen                                 1

Grabfeld / OT Exdorf                                    1

Grabfeld / OT Jüchsen                                   6

Grabfeld / OT Nordheim                                  2

Grabfeld / OT Obendorf                                  2

Grabfeld / OT Queienfeld                                2

Kaltennordheim                                         13

Kaltennordheim / OT Aschenhausen                        1

Kaltennordheim / OT Klings                              2

Kühndorf                                                1
Mehmels                                 2

Meiningen                              38

Meiningen / OT Dreißigacker             2

Meiningen / OT Herpf                    3

Meiningen / OT Walldorf                 7

Obermaßfeld-Grimmenthal                 4

Oberweid                                5

Rhönblick / OT Bettenhausen             2

Rhönblick / OT Helmershausen            2

Rippershausen                           2

Rippershausen OT Melkers                3

Ritschenhausen                          2

Rohr                                    1

Rosa                                    1

Schmalkalden                           21

Schmalkalden / OT Asbach                3

Schmalkalden / OT Mittelschmalkalden    1

Schmalkalden / OT Möckers               3

Schmalkalden / OT Springstille          1

Schmalkalden / OT Wernshausen           3

Schwallungen                            2

Schwallungen / OT Zillbach              2

Schwarza                               10

Steinbach-Hallenberg                   19

Steinbach-Hallenberg / OT Bermbach      1
Steinbach-Hallenberg / OT Herges-Hallenberg     1

Steinbach-Hallenberg / OT Rotterode             4

Steinbach-Hallenberg / OT Unterschönau          2

Steinbach-Hallenberg / OT Viernau              15

Sülzfeld                                        1

Untermaßfeld                                    6

Vachdorf                                        1

Wahns                                           1

Wasungen                                       11

Wasungen / OT Hümpfershausen                    2

Wasungen / OT Metzels                           1

Wasungen / OT Oepfershausen                     1

Zella-Mehlis                                   17

Gesamtergebnis                                293

