Landkreis Schmalkalden-Meiningen
Samstag, 12. Dezember 2020

COVID-19 Tägliches Lagebild                                         x

Stand:                                             12.12.20 10:00


Aspekt                                                                  Anzahl


Bestätigte Neuinfektionen seit der letzten Lagemeldung                   38

Gesamtzahl der bisher Infizierten mit Laborbestätigung                  1594

Patienten in stationärer Behandlung - Erkrankung an COVID19              16

Patienten in stationärer Behandlung - Erkrankung mit COVID19             32

Verstorbene an COVID19                                                   22

Verstorbene mit COVID19                                                  13
Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am
Wochenende)                                                               2

Gesamtzahl der Genesenen                                                1232

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                       15

7-Tage-Inzidenz pro 100.000 Einwohner                                   201,7



Quarantänefälle                                                         Anzahl

aktive positive Fälle                                                    327

Verdachtsfälle (nur teilweise Erfassung am Wochenende)                  1056



Anmerkung: *Die Zahl der COVID-19-Test
bezieht sich ausschließlich auf die Tests, die
durch das Gesundheitsamt durchgeführt
wurden. Die Anzahl der durch Arztpraxen,
Kliniken, etc. durchgeführten Tests liegen nicht
vor.
Anzahl nach Gemeinden / Ortsteilen        aktive positive Fälle
Breitungen                                                   6
Brotterode-Trusetal                                         17
Christes                                                     2
Dillstädt                                                    2
Einhausen                                                    2
Ellingshausen                                                1
Fambach                                                      8
Fambach / OT Heßles                                          5
Floh-Seligenthal                                            13
Floh-Seligenthal / OT Kleinschmalkalden                      2
Floh-Seligenthal / OT Struth-Helmershof                      2
Frankenheim/Rhön                                             3
Grabfeld                                                     1
Grabfeld / OT Bauerbach                                      1
Grabfeld / OT Behrungen                                      1
Grabfeld / OT Exdorf                                         2
Grabfeld / OT Jüchsen                                        7
Grabfeld / OT Nordheim                                       2
Grabfeld / OT Obendorf                                       2
Grabfeld / OT Queienfeld                                     2
Kaltennordheim                                              14
Kaltennordheim / OT Aschenhausen                             1
Kaltennordheim / OT Kaltensundheim                           1
Kaltennordheim / OT Klings                                   2
Kühndorf                                                     1
Mehmels                                                      2
Meiningen                                                   39
Meiningen / OT Dreißigacker                                  2
Meiningen / OT Henneberg                                     1
Meiningen / OT Herpf                                         3
Meiningen / OT Walldorf                                      7
Obermaßfeld-Grimmenthal                                      3
Oberweid                                                     6
Rhönblick / OT Bettenhausen                                  2
Rhönblick / OT Helmershausen                                 2
Rippershausen                                                2
Rippershausen / OT Melkers                                   3
Ritschenhausen                                               2
Rohr                                                         1
Rosa                                            1
Schmalkalden                                   22
Schmalkalden / OT Asbach                        3
Schmalkalden / OT Mittelschmalkalden            1
Schmalkalden / OT Möckers                       5
Schmalkalden / OT Springstille                  2
Schmalkalden / OT Wernshausen                   3
Schwallungen                                    2
Schwallungen / OT Zillbach                      2
Schwarza                                       10
Steinbach-Hallenberg                           21
Steinbach-Hallenberg / OT Bermbach              2
Steinbach-Hallenberg / OT Herges-Hallenberg     1
Steinbach-Hallenberg / OT Oberschönau           2
Steinbach-Hallenberg / OT Rotterode             6
Steinbach-Hallenberg / OT Unterschönau          2
Steinbach-Hallenberg / OT Viernau              19
Sülzfeld                                        2
Untermaßfeld                                    7
Vachdorf                                        1
Wasungen                                       12
Wasungen / OT Friedelshausen                    1
Wasungen / OT Hümpfershausen                    2
Wasungen / OT Metzels                           1
Wasungen / OT Wahns                             1
Zella-Mehlis                                   21
Gesamtergebnis                                327

