Landkreis Schmalkalden-Meiningen
Montag, 14. Dezember 2020

COVID-19 Tägliches Lagebild
Stand:                                             14.12.20 10:00


Aspekt                                                                 Anzahl

Bestätigte Neuinfektionen seit der letzten Lagemeldung                  50

Gesamtzahl der bisher Infizierten mit Laborbestätigung                 1684

Patienten in stationärer Behandlung - Erkrankung an COVID19             16

Patienten in stationärer Behandlung - Erkrankung mit COVID19            34

Verstorbene an COVID19                                                  24

Verstorbene mit COVID19                                                 15

Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am
Wochenende)                                                             31

Gesamtzahl der Genesenen                                               1285

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                      34

7-Tage-Inzidenz pro 100.000 Einwohner                                  245,0



Quarantänefälle                                                        Anzahl

aktive positive Fälle                                                   360

Verdachtsfälle (nur teilweise Erfassung am Wochenende)                  866




Anmerkung: *Die Zahl der COVID-19-Test bezieht sich ausschließlich
auf die Tests, die durch das Gesundheitsamt durchgeführt wurden.
Die Anzahl der durch Arztpraxen, Kliniken, etc. durchgeführten Tests
liegen nicht vor.
Anzahl nach Gemeinden / Ortsteilen        aktive positive Fälle

Breitungen                                                   5

Brotterode-Trusetal                                         11

Christes                                                     2

Dillstädt                                                    2

Einhausen                                                    2

Ellingshausen                                                1

Fambach                                                     13

Fambach / OT Heßles                                          4

Floh-Seligenthal                                            17

Floh-Seligenthal / OT Kleinschmalkalden                      1

Frankenheim/Rhön                                             3

Grabfeld                                                     5

Grabfeld / OT Bauerbach                                      1

Grabfeld / OT Behrungen                                      1

Grabfeld / OT Exdorf                                         2

Grabfeld / OT Jüchsen                                        5

Grabfeld / OT Nordheim                                       1

Grabfeld / OT Obendorf                                       1

Grabfeld / OT Queienfeld                                     2

Kaltennordheim                                              12

Kaltennordheim / OT Aschenhausen                             1

Kaltennordheim / OT Kaltenlengsfeld                          1

Kaltennordheim / OT Kaltensundheim                           1
Kaltennordheim / OT Klings              2

Kaltennordheim / OT Unterweid           2

Kühndorf                                1

Mehmels                                 2

Meiningen                              43

Meiningen / OT Dreißigacker             2

Meiningen / OT Henneberg                3

Meiningen / OT Herpf                    5

Meiningen / OT Stepfershausen           1

Meiningen / OT Walldorf                 7

Obermaßfeld-Grimmenthal                 3

Oberweid                                8

Rhönblick / OT Bettenhausen             2

Rhönblick / OT Helmershausen            1

Rhönblick / OT Stedtlingen              1

Rippershausen                           3

Rippershausen / OT Melkers              3

Ritschenhausen                          2

Rohr                                    2

Rosa                                    1

Schmalkalden                           24

Schmalkalden / OT Asbach                4

Schmalkalden / OT Mittelschmalkalden    1

Schmalkalden / OT Möckers               5

Schmalkalden / OT Springstille          2
Schmalkalden / OT Wernshausen                   5

Schwallungen                                    2

Schwallungen / OT Zillbach                      2

Schwarza                                        5

Steinbach-Hallenberg                           31

Steinbach-Hallenberg / OT Bermbach              3

Steinbach-Hallenberg / OT Herges-Hallenberg     1

Steinbach-Hallenberg / OT Oberschönau           2

Steinbach-Hallenberg / OT Rotterode             6

Steinbach-Hallenberg / OT Unterschönau          3

Steinbach-Hallenberg / OT Viernau              21

Sülzfeld                                        2

Untermaßfeld                                    5

Vachdorf                                        1

Wasungen                                       13

Wasungen / OT Friedelshausen                    1

Wasungen / OT Hümpfershausen                    4

Wasungen / OT Wahns                             2

Zella-Mehlis                                   27

Gesamtergebnis                                360

