Landkreis Schmalkalden-Meiningen
Dienstag, 15. Dezember 202

COVID-19 Tägliches Lagebild                                         x

Stand:                                             15.12.20 10:00


Aspekt                                                                  Anzahl


Bestätigte Neuinfektionen seit der letzten Lagemeldung                   51

Gesamtzahl der bisher Infizierten mit Laborbestätigung                  1735

Patienten in stationärer Behandlung - Erkrankung an COVID19              15

Patienten in stationärer Behandlung - Erkrankung mit COVID19             42

Verstorbene an COVID19                                                   25

Verstorbene mit COVID19                                                  16
Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am
Wochenende)                                                              33

Gesamtzahl der Genesenen                                                1318

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                       27

7-Tage-Inzidenz pro 100.000 Einwohner                                   274,6



Quarantänefälle                                                         Anzahl

aktive positive Fälle                                                    376

Verdachtsfälle (nur teilweise Erfassung am Wochenende)                  1080


Anmerkung: *Die Zahl der COVID-19-Test bezieht sich
ausschließlich auf die Tests, die durch das Gesundheitsamt
durchgeführt wurden. Die Anzahl der durch Arztpraxen, Kliniken,
etc. durchgeführten Tests liegen nicht vor.
Anzahl nach Gemeinden / Ortsteilen    aktive positive Fälle
Rhönblick / OT Wohlmutshausen                            1
Breitungen                                               6
Brotterode-Trusetal                                     13
Brotterode-Trusetal / OT Brotterode                      1
Christes                                                 1
Dillstädt                                                2
Einhausen                                                1
Ellingshausen                                            1
Fambach                                                 11
Fambach / OT Heßles                                      4
Floh-Seligenthal                                        16
Frankenheim/Rhön                                         3
Friedelshausen                                           1
Grabfeld                                                 5
Grabfeld / OT Bauerbach                                  1
Grabfeld / OT Behrungen                                  1
Grabfeld / OT Exdorf                                     2
Grabfeld / OT Jüchsen                                    5
Grabfeld / OT Nordheim                                   1
Grabfeld / OT Obendorf                                   1
Grabfeld / OT Queienfeld                                 1
Kaltennordheim                                          10
Kaltennordheim / OT Aschenhausen                         1
Kaltennordheim / OT Kaltenlengsfeld                      1
Kaltennordheim / OT Kaltensundheim                       1
Kaltennordheim / OT Kaltenwestheim                       1
Kaltennordheim / OT Klings                               3
Kaltennordheim / OT Unterweid                            2
Kühndorf                                                 1
Leutersdorf                                              1
Mehmels                                                  3
Meiningen                                               53
Meiningen / OT Dreißigacker                              2
Meiningen / OT Henneberg                                 3
Meiningen / OT Herpf                                     5
Meiningen / OT Stepfershausen                            1
Meiningen / OT Wallbach                                  1
Meiningen / OT Walldorf                                  8
Obermaßfeld-Grimmenthal                         4
Oberweid                                        8
Rhönblick / OT Bettenhausen                     2
Rhönblick / OT Helmershausen                    1
Rhönblick / OT Stedtlingen                      1
Rippershausen                                   2
Rippershausen / OT Melkers                      3
Ritschenhausen                                  2
Rohr                                            2
Rosa                                            1
Schmalkalden                                   23
Schmalkalden / OT Asbach                        4
Schmalkalden / OT Mittelschmalkalden            1
Schmalkalden / OT Möckers                       7
Schmalkalden / OT Niederschmalkalden            1
Schmalkalden / OT Springstille                  1
Schmalkalden / OT Wernshausen                   7
Schwallungen                                    3
Schwallungen / OT Zillbach                      3
Schwarza                                        5
Steinbach-Hallenberg                           29
Steinbach-Hallenberg / OT Bermbach              2
Steinbach-Hallenberg / OT Herges-Hallenberg     1
Steinbach-Hallenberg / OT Oberschönau           2
Steinbach-Hallenberg / OT Rotterode             5
Steinbach-Hallenberg / OT Unterschönau          3
Steinbach-Hallenberg / OT Viernau              20
Sülzfeld                                        2
Untermaßfeld                                    4
Vachdorf                                        2
Wasungen                                       14
Wasungen / OT Hümpfershausen                    4
Wasungen / OT Metzels                           2
Wasungen / OT Wahns                             1
Zella-Mehlis                                   29
Gesamtergebnis                                376

