Landkreis Schmalkalden-Meiningen
Montag, 21. Dezember 2020

COVID-19 Tägliches Lagebild                                         x


Stand:                                           21.12.20 10:00


Aspekt                                                                  Anzahl

Bestätigte Neuinfektionen seit der letzten Lagemeldung                   57

Gesamtzahl der bisher Infizierten mit Laborbestätigung                  2141

Patienten in stationärer Behandlung - Erkrankung an COVID19              24

Patienten in stationärer Behandlung - Erkrankung mit COVID19             35

Verstorbene an COVID19                                                   29

Verstorbene mit COVID19                                                  19

Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am
Wochenende)                                                               4

Gesamtzahl der Genesenen                                                1502

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                       38

7-Tage-Inzidenz pro 100.000 Einwohner                                   365,8



Quarantänefälle                                                         Anzahl

aktive positive Fälle                                                    591




 Anmerkung: *Die Zahl der COVID-19-Test bezieht sich
 ausschließlich auf die Tests, die durch das Gesundheitsamt
 durchgeführt wurden. Die Anzahl der durch Arztpraxen, Kliniken,
 etc. durchgeführten Tests liegen nicht vor.
Anzahl nach Gemeinden / Ortsteilen        aktive positive Fälle

Belrieth                                                     3

Breitungen                                                  13

Brotterode-Trusetal                                         23

Brotterode-Trusetal / OT Brotterode                          3

Christes                                                     4

Dillstädt                                                    1

Einhausen                                                    1

Ellingshausen                                                5

Erbenhausen                                                  2

Fambach                                                     12

Floh-Seligenthal                                             9

Floh-Seligenthal / OT Floh                                  12

Floh-Seligenthal / OT Kleinschmalkalden                      3

Floh-Seligenthal / OT Seligenthal                           10

Floh-Seligenthal / OT Struth-Helmershof                     13

Frankenheim/Rhön                                             2

Friedelshausen                                               1

Grabfeld / OT Behrungen                                      1

Grabfeld / OT Berkach                                        1

Grabfeld / OT Jüchsen                                        8

Grabfeld / OT Nordheim                                       4

Grabfeld / OT Obendorf                                       1

Grabfeld / OT Queienfeld                                     1
Grabfeld / OT Rentwertshausen          4

Grabfeld / OT Schwickershausen         4

Grabfeld / OT Wölfershausen            2

Grabfeld / OT Wolfmannshausen          1

Kaltennordheim                        10

Kaltennordheim / OT Fischbach          1

Kaltennordheim / OT Kaltenlengsfeld    1

Kaltennordheim / OT Kaltenwestheim     1

Kaltennordheim / OT Klings             3

Kaltennordheim / OT Oberkatz           1

Kaltennordheim / OT Unterweid          1

Kühndorf                              19

Mehmels                                5

Meiningen                             89

Meiningen / OT Dreißigacker            4

Meiningen / OT Henneberg               4

Meiningen / OT Herpf                   6

Meiningen / OT Stepfershausen          2

Meiningen / OT Wallbach                1

Meiningen / OT Walldorf                8

Obermaßfeld-Grimmenthal                3

Oberweid                               9

Rhönblick / OT Bettenhausen            3

Rhönblick / OT Gerthausen              1

Rhönblick / OT Gleimershausen          1
Rhönblick / OT Stedtlingen                     1

Rhönblick / OT Wohlmuthausen                   2

Rippershausen                                  3

Rippershausen / OT Solz                        1

Ritschenhausen                                 2

Rohr                                           3

Rosa                                           3

Roßdorf                                        1

Schmalkalden                                  39

Schmalkalden / OT Asbach                       2

Schmalkalden / OT Mittelschmalkalden           1

Schmalkalden / OT Mittelstille                 2

Schmalkalden / OT Möckers                      8

Schmalkalden / OT Niederschmalkalden           3

Schmalkalden / OT Springstille                 2

Schmalkalden / OT Wernshausen                  3

Schwallungen                                  10

Schwallungen / OT Eckardts                     1

Schwallungen / OT Schwarzbach                  1

Schwallungen / OT Zillbach                     2

Schwarza                                       9

Steinbach-Hallenberg                          38

Steinbach-Hallenberg / OT Altersbach           2

Steinbach-Hallenberg / OT Bermbach             2

Steinbach-Hallenberg / OT Herges-Hallenberg    4
Steinbach-Hallenberg / OT Oberschönau      3

Steinbach-Hallenberg / OT Rotterode        7

Steinbach-Hallenberg / OT Unterschönau     5

Steinbach-Hallenberg / OT Viernau         19

Sülzfeld                                   5

Untermaßfeld                               6

Utendorf                                   3

Vachdorf                                   1

Wasungen                                  14

Wasungen / OT Hümpfershausen               4

Wasungen / OT Metzels                      2

Wasungen / OT Oepfershausen                3

Wasungen / OT Wahns                        1

Zella-Mehlis                              51

Zella-Mehlis / OT Benshausen               5

Gesamtergebnis                           591

