Landkreis Schmalkalden-Meiningen
Mittwoch, 23. Dezember 2020

COVID-19 Tägliches Lagebild                                            x

Stand:                                           23.12.20 10:00


Aspekt                                                                     Anzahl


Bestätigte Neuinfektionen seit der letzten Lagemeldung                        80

Gesamtzahl der bisher Infizierten mit Laborbestätigung                       2311

Patienten in stationärer Behandlung - Erkrankung an COVID19                   33

Patienten in stationärer Behandlung - Erkrankung mit COVID19                  40

Verstorbene an COVID19                                                        32

Verstorbene mit COVID19                                                       21
Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am
Wochenende)                                                                  243

Gesamtzahl der Genesenen                                                     1796

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                            26

7-Tage-Inzidenz pro 100.000 Einwohner                                       414,7



Quarantänefälle                                                            Anzahl

aktive positive Fälle                                                        462


Anmerkung: *Die Zahl der COVID-19-Test bezieht sich ausschließlich auf die Tests, die
durch das Gesundheitsamt durchgeführt wurden. Die Anzahl der durch Arztpraxen,
Kliniken, etc. durchgeführten Tests liegen nicht vor.
Anzahl nach Gemeinden / Ortsteilen        aktive positive Fälle
Belrieth                                                     2
Breitungen                                                   9
Brotterode-Trusetal                                         20
Brotterode-Trusetal / OT Brotterode                          3
Christes                                                     3
Einhausen                                                    1
Erbenhausen                                                  2
Fambach                                                     10
Floh-Seligenthal                                            19
Floh-Seligenthal / OT Hohleborn                              1
Floh-Seligenthal / OT Kleinschmalkalden                      1
Floh-Seligenthal / OT Schnellbach                            1
Floh-Seligenthal / OT Seligenthal                            9
Floh-Seligenthal / OT Struth-Helmershof                     12
Frankenheim/Rhön                                             1
Friedelshausen                                               1
Grabfeld / OT Behrungen                                      3
Grabfeld / OT Behrungen                                      1
Grabfeld / OT Berkach                                        1
Grabfeld / OT Bibra                                          1
Grabfeld / OT Exdorf                                         2
Grabfeld / OT Jüchsen                                        3
Grabfeld / OT Nordheim                                       2
Grabfeld / OT Queienfeld                                     3
Grabfeld / OT Rentwertshausen                                4
Grabfeld / OT Schwickershausen                               6
Grabfeld / OT Wölfershausen                                  2
Grabfeld / OT Wolfmannshausen                                1
Kaltennordheim                                               6
Kaltennordheim / OT Kaltenlengsfeld                          1
Kaltennordheim / OT Klings                                   2
Kühndorf                                                    15
Mehmels                                                      3
Meiningen                                                   64
Meiningen / OT Dreißigacker                                  4
Meiningen / OT Henneberg                                     1
Meiningen / OT Herpf                                         3
Meiningen / OT Stepfershausen                                3
Meiningen / OT Walldorf                       12
Oberhof                                        1
Obermaßfeld-Grimmenthal                        4
Oberweid                                      10
Rhönblick / OT Bettenhausen                    2
Rhönblick / OT Gerthausen                      1
Rhönblick / OT Seeba                           1
Rhönblick / OT Stedtlingen                     1
Rhönblick / OT Wohlmuthausen                   1
Rippershausen                                  1
Rippershausen / OT Solz                        1
Ritschenhausen                                 2
Rosa                                           1
Roßdorf                                        1
Schmalkalden                                  34
Schmalkalden / OT Mittelstille                 2
Schmalkalden / OT Möckers                      4
Schmalkalden / OT Niederschmalkalden           2
Schmalkalden / OT Springstille                 3
Schmalkalden / OT Wernshausen                  5
Schwallungen                                   3
Schwallungen / OT Eckardts                     1
Schwallungen / OT Schwarzbach                  1
Schwallungen / OT Zillbach                     1
Schwarza                                       8
Steinbach-Hallenberg                          14
Steinbach-Hallenberg / OT Altersbach           4
Steinbach-Hallenberg / OT Herges-Hallenberg    1
Steinbach-Hallenberg / OT Rotterode            5
Steinbach-Hallenberg / OT Unterschönau         2
Steinbach-Hallenberg / OT Viernau             17
Sülzfeld                                       2
Untermaßfeld                                   3
Utendorf                                       3
Vachdorf                                       2
Wasungen                                      12
Wasungen / OT Hümpfershausen                   2
Wasungen / OT Metzels                          1
Wasungen / OT Oepfershausen                    1
Zella-Mehlis                                  58
Zella-Mehlis / OT Benshausen       5
Zella-Mehlis / OT Ebertshausen     1
Gesamtergebnis                   462

