Landkreis Schmalkalden-Meiningen
Freitag, 15. Januar 2021

COVID-19 Tägliches Lagebild                                            x

Stand:                                           15.01.21 10:00 Uhr


Aspekt                                                                     Anzahl


Bestätigte Neuinfektionen seit der letzten Lagemeldung                        98

Gesamtzahl der bisher Infizierten mit Laborbestätigung                       3818

Patienten in stationärer Behandlung - Erkrankung an COVID19                   61

Patienten in stationärer Behandlung - Erkrankung mit COVID19                  69

Verstorbene an COVID19                                                        83

Verstorbene mit COVID19                                                       43
Genesene seit der letzten Lagemeldung (nur teilweise Erfassung am
Wochenende)                                                                   94

Gesamtzahl der Genesenen                                                     3073

Gesamt-COVID-19 Tests seit der letzten Lagemeldung                            19

7-Tage-Inzidenz pro 100.000 Einwohner                                       423,5



Quarantänefälle                                                            Anzahl

aktive positive Fälle                                                        619


Anmerkung: *Die Zahl der COVID-19-Test bezieht sich ausschließlich auf die Tests, die
durch das Gesundheitsamt durchgeführt wurden. Die Anzahl der durch Arztpraxen,
Kliniken, etc. durchgeführten Tests liegen nicht vor.

Hinweis: Aufgrund der anhaltend hohen Zahlen von Infektionen mit dem Coronavirus
SARS-CoV-2 und der damit verbundenen starken Arbeitsbelastung für das
Gesundheitsamt kann es zu Einschränkungen bei der Statistik kommen. Mögliche
Differenzen zum Vortag kommen durch Fehlerbehebungen zustande. Das
Gesundheitsamt bittet um Verständnis in dieser nach wie vor außergewöhnlichen und
auch herausfordernden Lage. Das Ziel ist, die Daten dauerhaft ohne Einschränkungen in
der gewohnt hohen Qualität zur Verfügung zu stellen.
Anzahl nach Gemeinden / Ortsteilen        aktive positive Fälle
Belrieth                                                     2
Birx                                                         9
Breitungen                                                  29
Brotterode-Trusetal                                         59
Brotterode-Trusetal / OT Wahles                              2
Christes                                                     1
Dillstädt                                                    1
Einhausen                                                    1
Erbenhausen                                                  2
Erbenhausen / OT Reichenhausen                               1
Fambach                                                      8
Fambach / OT Heßles                                          2
Floh-Seligenthal / OT Floh                                   7
Floh-Seligenthal / OT Hohleborn                              2
Floh-Seligenthal / OT Kleinschmalkalden                      3
Floh-Seligenthal / OT Seligenthal                            4
Floh-Seligenthal / OT Struth-Helmershof                     12
Frankenheim                                                  3
Friedelshausen                                               1
Grabfeld / OT Bauerbach                                      2
Grabfeld / OT Behrungen                                      2
Grabfeld / OT Berkach                                        1
Grabfeld / OT Bibra                                          1
Grabfeld / OT Exdorf                                         1
Grabfeld / OT Jüchsen                                       10
Grabfeld / OT Queienfeld                                     1
Grabfeld / OT Rentwertshausen                                1
Grabfeld / OT Schwickershausen                               1
Grabfeld / OT Wölfershausen                                  2
Grabfeld / OT Wolfmannshausen                                4
Kaltennordheim                                               9
Kaltennordheim / OT Andenhausen                              4
Kaltennordheim / OT Fischbach                                2
Kaltennordheim / OT Kaltenlengsfeld                          1
Kaltennordheim / OT Kaltensundheim                           6
Kaltennordheim / OT Kaltenwestheim                           1
Kaltennordheim / OT Klings                                   1
Kaltennordheim / OT Mittelsdorf                              2
Kaltennordheim / OT Oberkatz                   1
Kaltennordheim / OT Unterweid                  1
Kühndorf                                       4
Leutersdorf                                    2
Meiningen                                     85
Meiningen / OT Dreißigacker                   14
Meiningen / OT Henneberg                       1
Meiningen / OT Herpf                           3
Meiningen / OT Stepfershausen                  1
Meiningen / OT Walldorf                       19
Oberhof                                        1
Obermaßfeld-Grimmenthal                        4
Oberweid                                       2
Rhönblick / OT Bettenhausen                    2
Rhönblick / OT Geeba                           1
Rhönblick / OT Helmershausen                   2
Rhönblick / OT Hermannsfeld                    1
Rhönblick / OT Stedtlingen                     1
Rippershausen                                  2
Ritschenhausen                                 2
Rohr                                          13
Rosa                                           3
Roßdorf                                        3
Schmalkalden                                  56
Schmalkalden / OT Asbach                       2
Schmalkalden / OT Helmers                      1
Schmalkalden / OT Mittelstille                 3
Schmalkalden / OT Niederschmalkalden           2
Schmalkalden / OT Springstille                 2
Schmalkalden / OT Wernshausen                  8
Schwallungen                                   6
Schwallungen / OT Zillbach                     2
Schwarza                                       3
Steinbach-Hallenberg                          35
Steinbach-Hallenberg / OT Altersbach           2
Steinbach-Hallenberg / OT Herges-Hallenberg    1
Steinbach-Hallenberg / OT Oberschönau          7
Steinbach-Hallenberg / OT Rotterode            6
Steinbach-Hallenberg / OT Unterschönau         3
Steinbach-Hallenberg / OT Viernau              8
Sülzfeld                         4
Untermaßfeld                     1
Utendorf                         5
Vachdorf                         2
Wasungen                        12
Wasungen / OT Bonndorf           1
Wasungen / OT Hümpfershausen     1
Wasungen / OT Metzels            3
Wasungen / OT Oepfershausen      2
Wasungen / OT Unterkatz          2
Wasungen / OT Wahns              9
Zella-Mehlis                    54
Zella-Mehlis / OT Benshausen     7
Gesamtergebnis                 619

