Landkreis Schmalkalden-Meiningen
Mittwoch, 31. März 2021


COVID-19 Tägliches Lagebild                                                x
Stand:                                                          31.03.2021 10:00 Uhr

Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                     151

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         7.784

Patienten in stationärer Behandlung - Erkrankung an COVID19                     64

Patienten in stationärer Behandlung - Erkrankung mit COVID19                    25

Verstorbene im Zusammenhang mit COVID19                                         284

Gesamtzahl abgelaufener Quarantänezeitraum                                     6.766

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                             185

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)            360
Quarantänefälle

aktive positive Fälle                                                           734
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          Anzahl von fallFallkennzeichen
Belrieth                                    3
Breitungen/Werra                            47
Brotterode-Trusetal                         35
Christes                                    1
Einhausen                                   5
Erbenhausen                                 4
Fambach                                     7
Floh-Seligenthal                            42
Frankenheim/Rhön                            12
Friedelshausen                              2
Grabfeld                                    27
Kaltennordheim                              33
Kühndorf                                    1
Mehmels                                     4
Meiningen                                  115
Oberhof                                     5
Obermaßfeld-Grimmenthal                     4
Oberweid                                    2
Rhönblick                                   11
Rippershausen                               3
Ritschenhausen                              3
Rohr                                        6
Rosa                                        29
Roßdorf                                     13
Schmalkalden                               120
Schwallungen                                35
Schwarza                                    3
Steinbach-Hallenberg                        58
Sülzfeld                                    17
Untermaßfeld                                8
Utendorf                                    2
Wasungen                                    43
Zella-Mehlis                                34
Gesamtergebnis                             734

