Landkreis Schmalkalden-Meiningen
Donnerstag, 1. April 2021


COVID-19 Tägliches Lagebild                                                x
Stand:                                                          01.04.2021 10:00 Uhr

Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                     63

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         7.847

Patienten in stationärer Behandlung - Erkrankung an COVID19                     55

Patienten in stationärer Behandlung - Erkrankung mit COVID19                    30

Verstorbene im Zusammenhang mit COVID19                                         286

Gesamtzahl abgelaufener Quarantänezeitraum                                     6.840

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                             137

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           361,8
Quarantänefälle

aktive positive Fälle                                                           721
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen
Belrieth                       3
Breitungen/Werra              45
Brotterode-Trusetal           34
Christes                       1
Einhausen                      6
Erbenhausen                    5
Fambach                        6
Floh-Seligenthal              40
Frankenheim/Rhön              13
Friedelshausen                 1
Grabfeld                      29
Kaltennordheim                31
Kühndorf                       1
Mehmels                        4
Meiningen                     111
Oberhof                        4
Obermaßfeld-Grimmenthal        6
Oberweid                       2
Rhönblick                      9
Rippershausen                  3
Ritschenhausen                 3
Rohr                           5
Rosa                          26
Roßdorf                       10
Schmalkalden                  121
Schwallungen                  36
Schwarza                       3
Steinbach-Hallenberg          64
Sülzfeld                      15
Untermaßfeld                   8
Utendorf                       1
Wasungen                      39
Zella-Mehlis                  36
Gesamtergebnis                721

