Landkreis Schmalkalden-Meiningen
Freitag, 2. April 2021


COVID-19 Tägliches Lagebild                                                x
Stand:                                                          02.04.2021 10:00 Uhr

Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                     65

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         7.912

Patienten in stationärer Behandlung - Erkrankung an COVID19                     50

Patienten in stationärer Behandlung - Erkrankung mit COVID19                    26

Verstorbene im Zusammenhang mit COVID19                                         289

Gesamtzahl abgelaufener Quarantänezeitraum                                     6.904

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                             179

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           360,2
Quarantänefälle

aktive positive Fälle                                                           719
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          Anzahl von
Belrieth                                    2
Breitungen/Werra                           49
Brotterode-Trusetal                        35
Einhausen                                   6
Erbenhausen                                 4
Fambach                                     6
Floh-Seligenthal                           41
Frankenheim/Rhön                           13
Friedelshausen                              1
Grabfeld                                   32
Kaltennordheim                             30
Kühndorf                                    2
Mehmels                                     2
Meiningen                                  110
Neubrunn                                    1
Oberhof                                     4
Obermaßfeld-Grimmenthal                    11
Oberweid                                    2
Rhönblick                                  10
Rippershausen                               3
Ritschenhausen                              3
Rohr                                        4
Rosa                                       21
Roßdorf                                     7
Schmalkalden                               121
Schwallungen                               33
Schwarza                                    5
Steinbach-Hallenberg                       60
Sülzfeld                                   12
Untermaßfeld                               10
Utendorf                                    1
Vachdorf                                    1
Wasungen                                   37
Zella-Mehlis                               40
Gesamtergebnis                             719

