Landkreis Schmalkalden-Meiningen
Sonntag, 4. April 2021


COVID-19 Tägliches Lagebild                                                x
Stand:                                                          04.04.2021 10:00 Uhr

Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                     39

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         8.006

Patienten in stationärer Behandlung - Erkrankung an COVID19                     52

Patienten in stationärer Behandlung - Erkrankung mit COVID19                    25

Verstorbene im Zusammenhang mit COVID19                                         291

Gesamtzahl abgelaufener Quarantänezeitraum                                     7.003

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              0

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           325,0
Quarantänefälle

aktive positive Fälle                                                           712
Aktive Fälle nach Gemeinden

Zeilenbeschriftungen      Anzahl von fallFallkennzeichen
Belrieth                                3
Breitungen/Werra                        56
Brotterode-Trusetal                     34
Einhausen                               5
Erbenhausen                             5
Fambach                                 6
Floh-Seligenthal                        39
Frankenheim/Rhön                        8
Grabfeld                                32
Kaltennordheim                          28
Kühndorf                                2
Meiningen                              111
Neubrunn                                1
Oberhof                                 3
Obermaßfeld-Grimmenthal                 11
Oberweid                                1
Rhönblick                               13
Rippershausen                           2
Ritschenhausen                          3
Rohr                                    3
Rosa                                    20
Roßdorf                                 6
Schmalkalden                           127
Schwallungen                            30
Schwarza                                5
Steinbach-Hallenberg                    56
Sülzfeld                                11
Untermaßfeld                            10
Vachdorf                                2
Walldorf                                1
Wasungen                                33
Zella-Mehlis                            45
Gesamtergebnis                         712

