Landkreis Schmalkalden-Meiningen
Mittwoch, 07. April 2021


COVID-19 Tägliches Lagebild                                                x
Stand:                                                          07.04.2021 10:00 Uhr

Aspekt                                                                         Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                       22

Gesamtzahl der bisher Infizierten mit Laborbestätigung                          8.048

Patienten in stationärer Behandlung - Erkrankung an COVID19                       56

Patienten in stationärer Behandlung - Erkrankung mit COVID19                      30

Verstorbene im Zusammenhang mit COVID19                                          299

Gesamtzahl abgelaufener Quarantänezeitraum                                      7.158

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              205

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)            204,9
Quarantänefälle

aktive positive Fälle                                                            591
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen
Belrieth                        3
Breitungen/Werra               46
Brotterode-Trusetal            27
Dillstädt                       1
Einhausen                       3
Erbenhausen                     5
Fambach                         4
Floh-Seligenthal               30
Frankenheim/Rhön                7
Grabfeld                       29
Kaltennordheim                 20
Kühndorf                        2
Meiningen                      87
Neubrunn                        1
Oberhof                         2
Obermaßfeld-Grimmenthal         9
Rhönblick                      12
Rippershausen                   2
Ritschenhausen                  2
Rohr                            2
Rosa                           12
Roßdorf                         6
Schmalkalden                  114
Schwallungen                   24
Schwarza                        4
Steinbach-Hallenberg           49
Sülzfeld                        7
Untermaßfeld                   10
Vachdorf                        1
Wasungen                       28
Zella-Mehlis                   42
Gesamtergebnis                591

