Landkreis Schmalkalden-Meiningen
Sonntag, 11. April 2021


COVID-19 Tägliches Lagebild                                                  x
Stand:                                                            11.04.2021 10:00 Uhr

Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                      67

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         8.397

Patienten in stationärer Behandlung - Erkrankung an COVID19                      49

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     24

Verstorbene im Zusammenhang mit COVID19                                         309

Gesamtzahl abgelaufener Quarantänezeitraum                                     7.456

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              0

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           309,8
Quarantänefälle

aktive positive Fälle                                                           632
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen        Anzahl von fallFallkennzeichen
Belrieth                                   4
Breitungen/Werra                          35
Brotterode-Trusetal                       29
Dillstädt                                  6
Einhausen                                  5
Ellingshausen                              2
Erbenhausen                                3
Fambach                                    6
Floh-Seligenthal                          26
Frankenheim/Rhön                           5
Friedelshausen                             1
Grabfeld                                  27
Kaltennordheim                            15
Kühndorf                                   4
Leutersdorf                                1
Meiningen                                 96
Neubrunn                                   1
Oberhof                                    2
Obermaßfeld-Grimmenthal                    6
Oberweid                                   2
Rhönblick                                 10
Rippershausen                              2
Ritschenhausen                             2
Rohr                                       1
Rosa                                      10
Roßdorf                                    6
Schmalkalden                             142
Schwallungen                              34
Schwarza                                   8
Steinbach-Hallenberg                      48
Sülzfeld                                   5
Untermaßfeld                               9
Utendorf                                   1
Vachdorf                                   4
Wasungen                                  28
Zella-Mehlis                              46
Gesamtergebnis                           632

