Landkreis Schmalkalden-Meiningen
Dienstag, 13. April 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           13.04.2021 10:00 Uhr

Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                      34

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         8.439

Patienten in stationärer Behandlung - Erkrankung an COVID19                      50

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     24

Verstorbene im Zusammenhang mit COVID19                                         313

Gesamtzahl abgelaufener Quarantänezeitraum                                     7.560

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                             165

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           310,6
Quarantänefälle

aktive positive Fälle                                                           566
Aktive Fälle nach Gemeinden
                              Anzahl von
Zeilenbeschriftungen          fallFallkennzeichen
Belrieth                                  3
Breitungen/Werra                         40
Brotterode-Trusetal                      26
Dillstädt                                 6
Einhausen                                 5
Ellingshausen                             2
Erbenhausen                               2
Fambach                                   6
Floh-Seligenthal                         22
Frankenheim/Rhön                          3
Friedelshausen                            1
Grabfeld                                 25
Kaltennordheim                           12
Kühndorf                                  4
Leutersdorf                               1
Meiningen                                84
Neubrunn                                  1
Oberhof                                   3
Obermaßfeld-Grimmenthal                   5
Oberweid                                  2
Rhönblick                                10
Rippershausen                             1
Ritschenhausen                            2
Rohr                                      2
Rosa                                     10
Roßdorf                                   3
Schmalkalden                            123
Schwallungen                             30
Schwarza                                  6
Steinbach-Hallenberg                     36
Sülzfeld                                  5
Untermaßfeld                              9
Utendorf                                  1
Vachdorf                                  4
Wasungen                                 25
Zella-Mehlis                             46
Gesamtergebnis                          566

