Landkreis Schmalkalden-Meiningen
Freitag, 16. April 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           16.04.2021 10:00 Uhr



Aspekt                                                                         Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                      45

Gesamtzahl der bisher Infizierten mit Laborbestätigung                          8.644

Patienten in stationärer Behandlung - Erkrankung an COVID19                      48

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     18

Verstorbene im Zusammenhang mit COVID19                                         317

Gesamtzahl abgelaufener Quarantänezeitraum                                      7.764

Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              74

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)            283,4
Quarantänefälle

aktive positive Fälle                                                           563
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen
Belrieth                        2
Breitungen/Werra               37
Brotterode-Trusetal            25
Dillstädt                       5
Einhausen                       3
Ellingshausen                   2
Erbenhausen                     3
Fambach                         9
Floh-Seligenthal               27
Frankenheim/Rhön                3
Friedelshausen                  1
Grabfeld                       28
Kaltennordheim                 16
Kühndorf                        4
Leutersdorf                     1
Meiningen                      84
Neubrunn                        1
Oberhof                         6
Obermaßfeld-Grimmenthal         2
Oberweid                        3
Rhönblick                      16
Rippershausen                   1
Ritschenhausen                  2
Rohr                            4
Rosa                            7
Roßdorf                         3
Schmalkalden                  129
Schwallungen                   31
Schwarza                        3
Steinbach-Hallenberg           22
Sülzfeld                        5
Untermaßfeld                    5
Utendorf                        1
Vachdorf                        4
Wasungen                       23
Zella-Mehlis                   45
Gesamtergebnis                563

