Landkreis Schmalkalden-Meiningen
Donnerstag, 22. April 2021


COVID-19 Tägliches Lagebild                                              x
Stand:                                                        22.04.2021 10:00 Uhr



Aspekt                                                                       Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                    36

Gesamtzahl der bisher Infizierten mit Laborbestätigung                        8.923

Patienten in stationärer Behandlung - Erkrankung an COVID19                    47

Patienten in stationärer Behandlung - Erkrankung mit COVID19                   15

Verstorbene im Zusammenhang mit COVID19                                        322

Gesamtzahl abgelaufener Quarantänezeitraum                                    8.058


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                            101

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)          221,7
Quarantänefälle

aktive positive Fälle                                                          543
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen
Breitungen/Werra               43
Brotterode-Trusetal            17
Dillstädt                       2
Erbenhausen                     2
Fambach                         9
Floh-Seligenthal               21
Frankenheim/Rhön                7
Grabfeld                       17
Kaltennordheim                 15
Kühndorf                        2
Meiningen                      97
Neubrunn                        1
Oberhof                        16
Obermaßfeld-Grimmenthal         5
Oberweid                        3
Rhönblick                      23
Rippershausen                   3
Ritschenhausen                  1
Rohr                            5
Rosa                            4
Schmalkalden                  103
Schwallungen                   36
Schwarza                        5
Steinbach-Hallenberg           23
Sülzfeld                        8
Untermaßfeld                    1
Utendorf                        5
Vachdorf                        1
Wasungen                       20
Zella-Mehlis                   48
Gesamtergebnis                543

