Landkreis Schmalkalden-Meiningen
Samstag, 24. April 2021


COVID-19 Tägliches Lagebild                                               x
Stand:                                                         24.04.2021 10:00 Uhr



Aspekt                                                                       Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                    36

Gesamtzahl der bisher Infizierten mit Laborbestätigung                        9.014

Patienten in stationärer Behandlung - Erkrankung an COVID19                    39

Patienten in stationärer Behandlung - Erkrankung mit COVID19                   10

Verstorbene im Zusammenhang mit COVID19                                        325

Gesamtzahl abgelaufener Quarantänezeitraum                                    8.168


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                            216

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)          222,5
Quarantänefälle

aktive positive Fälle                                                          521




Aktive Fälle nach Gemeinden

Zeilenbeschriftungen             Anzahl von fallFallkennzeichen

Breitungen                                          1

Breitungen/Werra                                    35

Brotterode-Trusetal                                 13

Dillstädt                                           2

Fambach                                             10

Floh-Seligenthal                                    17

Frankenheim/Rhön                                    7

Grabfeld                                            15

Kaltennordheim                                      14
Kühndorf                   2

Meiningen                 98

Neubrunn                   3

Oberhof                   17

Obermaßfeld-Grimmenthal    8

Oberweid                   2

Rhönblick                 24

Rippershausen              5

Rohr                       4

Rosa                       2

Schmalkalden              91

Schwallungen              33

Schwarza                   3

Steinbach-Hallenberg      24

Sülzfeld                  10

Untermaßfeld               1

Utendorf                   5

Vachdorf                   1

Wasungen                  23

Zella-Mehlis              51

Gesamtergebnis            521

