Landkreis Schmalkalden-Meiningen
Sonntag, 25. April 2021


COVID-19 Tägliches Lagebild                                               x
Stand:                                                         25.04.2021 10:00 Uhr



Aspekt                                                                       Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                    35

Gesamtzahl der bisher Infizierten mit Laborbestätigung                        9.049

Patienten in stationärer Behandlung - Erkrankung an COVID19                    36

Patienten in stationärer Behandlung - Erkrankung mit COVID19                    8

Verstorbene im Zusammenhang mit COVID19                                        325

Gesamtzahl abgelaufener Quarantänezeitraum                                    8.206


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                             0

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)          244,2
Quarantänefälle

aktive positive Fälle                                                          518




Aktive Fälle nach Gemeinden

Zeilenbeschriftungen        Anzahl von fallFallkennzeichen

Breitungen/Werra                            30

Brotterode-Trusetal                         13

Dillstädt                                   2

Fambach                                     10

Floh-Seligenthal                            19

Frankenheim/Rhön                            6

Grabfeld                                    15

Kaltennordheim                              11
Kühndorf                   3

Meiningen                 99

Neubrunn                   3

Oberhof                   14

Obermaßfeld-Grimmenthal    8

Oberweid                   2

Rhönblick                 24

Rippershausen              4

Rohr                       5

Rosa                       2

Schmalkalden              93

Schwallungen              36

Schwarza                   3

Steinbach-Hallenberg      23

Sülzfeld                  12

Untermaßfeld               2

Utendorf                   5

Vachdorf                   3

Wasungen                  22

Zella-Mehlis              49

Gesamtergebnis            518

