Landkreis Schmalkalden-Meiningen
Montag, 26. April 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           26.04.2021 10:00 Uhr



Aspekt                                                                        Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                     14

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         9.063

Patienten in stationärer Behandlung - Erkrankung an COVID19                     36

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     9

Verstorbene im Zusammenhang mit COVID19                                         325

Gesamtzahl abgelaufener Quarantänezeitraum                                     8.248


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              0

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           241,0
Quarantänefälle

aktive positive Fälle                                                           490
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen
Breitungen/Werra               29
Brotterode-Trusetal             9
Dillstädt                       2
Fambach                        10
Floh-Seligenthal               18
Frankenheim/Rhön                6
Grabfeld                       15
Kaltennordheim                 12
Kühndorf                        3
Meiningen                      92
Neubrunn                        3
Oberhof                        13
Obermaßfeld-Grimmenthal         8
Oberweid                        2
Rhönblick                      23
Rippershausen                   2
Rohr                            4
Rosa                            1
Schmalkalden                   90
Schwallungen                   34
Schwarza                        3
Steinbach-Hallenberg           21
Sülzfeld                       11
Untermaßfeld                    1
Utendorf                        5
Vachdorf                        3
Wasungen                       23
Zella-Mehlis                   47
Gesamtergebnis                490

