Landkreis Schmalkalden-Meiningen
Dienstag, 27. April 2021


COVID-19 Tägliches Lagebild                                                   x
Stand:                                                             27.04.2021 10:00 Uhr



Aspekt                                                                         Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                      29

Gesamtzahl der bisher Infizierten mit Laborbestätigung                          9.092

Patienten in stationärer Behandlung - Erkrankung an COVID19                      38

Patienten in stationärer Behandlung - Erkrankung mit COVID19                      9

Verstorbene im Zusammenhang mit COVID19                                          327

Gesamtzahl abgelaufener Quarantänezeitraum                                      8.293


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              279

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)            231,4
Quarantänefälle

aktive positive Fälle                                                            472
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          Anzahl
Breitungen/Werra                  28
Brotterode-Trusetal                9
Dillstädt                          2
Einhausen                          1
Fambach                           10
Floh-Seligenthal                  18
Frankenheim/Rhön                   7
Grabfeld                          11
Kaltennordheim                    12
Kühndorf                           3
Meiningen                         87
Neubrunn                           3
Oberhof                           15
Obermaßfeld-Grimmenthal            8
Oberweid                           2
Rhönblick                         16
Rippershausen                      2
Rohr                               4
Rosa                               1
Roßdorf                            2
Schmalkalden                      90
Schwallungen                      32
Schwarza                           4
Steinbach-Hallenberg              20
Sülzfeld                          10
Untermaßfeld                       1
Utendorf                           5
Vachdorf                           4
Wasungen                          18
Zella-Mehlis                      47
Gesamtergebnis                   472

