Landkreis Schmalkalden-Meiningen
Mittwoch, 05. Mai 2021


COVID-19 Tägliches Lagebild                                               x
Stand:                                                         05.05.2021 10:00 Uhr



Aspekt                                                                       Anzahl

Befundeingänge der letzten 24 h (Meldedatum kann abweichen)                    55

Gesamtzahl der bisher Infizierten mit Laborbestätigung                        9.396

Patienten in stationärer Behandlung - Erkrankung an COVID19                    49

Patienten in stationärer Behandlung - Erkrankung mit COVID19                   16

Verstorbene im Zusammenhang mit COVID19                                       342

Gesamtzahl abgelaufener Quarantänezeitraum                                    8.637


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                            93

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)          171,3
Quarantänefälle

aktive positive Fälle                                                         417
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          A
Breitungen/Werra                   23
Brotterode-Trusetal                10
Christes                            6
Dillstädt                           1
Einhausen                           1
Erbenhausen                         4
Fambach                             8
Floh-Seligenthal                   27
Frankenheim/Rhön                    5
Grabfeld                            8
Kaltennordheim                     18
Kühndorf                            1
Leutersdorf                         1
Meiningen                          83
Neubrunn                            3
Oberhof                             7
Obermaßfeld-Grimmenthal             4
Oberweid                            1
Rhönblick                           9
Rippershausen                       4
Ritschenhausen                      3
Rohr                                3
Rosa                                7
Roßdorf                             5
Schmalkalden                       65
Schwallungen                       13
Schwarza                            9
Steinbach-Hallenberg               17
Sülzfeld                            4
Untermaßfeld                        3
Utendorf                            1
Vachdorf                            5
Wasungen                           11
Zella-Mehlis                       47
Gesamtergebnis                    417

