Landkreis Schmalkalden-Meiningen
Donnerstag, 13. Mai 2021


COVID-19 Tägliches Lagebild                                               x
Stand:                                                         13.05.2021 10:00 Uhr



Aspekt                                                                      Anzahl

Befundeingänge der letzten 24h (Meldedatum kann abweichen)                    18

Gesamtzahl der bisher Infizierten mit Laborbestätigung                       9.644

Patienten in stationärer Behandlung - Erkrankung an COVID19                   44

Patienten in stationärer Behandlung - Erkrankung mit COVID19                  18

Verstorbene im Zusammenhang mit COVID19                                       347

Gesamtzahl abgelaufener Quarantänezeitraum                                   8.925


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                           140

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)         135,3
Quarantänefälle

aktive positive Fälle                                                         372
Aktive Fälle nach Gemeinden

Zeilenbeschriftungen
Belrieth                       2
Breitungen/Werra              12
Brotterode-Trusetal           10
Christes                       5
Dillstädt                      1
Erbenhausen                    2
Fambach                       12
Floh-Seligenthal              32
Frankenheim/Rhön               3
Grabfeld                      13
Kaltennordheim                19
Mehmels                        2
Meiningen                     61
Neubrunn                       1
Oberhof                       14
Obermaßfeld-Grimmenthal        3
Oberweid                       1
Rhönblick                      5
Rippershausen                  6
Rohr                           4
Rosa                          10
Roßdorf                        2
Schmalkalden                  67
Schwallungen                   7
Schwarza                       7
Steinbach-Hallenberg          13
Untermaßfeld                   3
Vachdorf                       3
Wasungen                       7
Zella-Mehlis                  45
Gesamtergebnis                372

