Landkreis Schmalkalden-Meiningen
Freitag, 14. Mai 2021


COVID-19 Tägliches Lagebild                                               x
Stand:                                                         14.05.2021 10:00 Uhr



Aspekt                                                                      Anzahl

Befundeingänge der letzten 24h (Meldedatum kann abweichen)                    26

Gesamtzahl der bisher Infizierten mit Laborbestätigung                       9.670

Patienten in stationärer Behandlung - Erkrankung an COVID19                   44

Patienten in stationärer Behandlung - Erkrankung mit COVID19                  19

Verstorbene im Zusammenhang mit COVID19                                       347

Gesamtzahl abgelaufener Quarantänezeitraum                                   8.961


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                           23

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)         128,1
Quarantänefälle

aktive positive Fälle                                                         362
Aktive Fälle nach Gemeinden


Belrieth                      2
Breitungen/Werra              10
Brotterode-Trusetal           10
Christes                      4
Dillstädt                     1
Erbenhausen                   1
Fambach                       14
Floh-Seligenthal              29
Frankenheim/Rhön              3
Grabfeld                      13
Kaltennordheim                18
Mehmels                       2
Meiningen                     60
Neubrunn                      1
Oberhof                       17
Obermaßfeld-Grimmenthal       2
Oberweid                      2
Rhönblick                     6
Rippershausen                 6
Rohr                          4
Rosa                          7
Roßdorf                       2
Schmalkalden                  71
Schwallungen                  5
Schwarza                      7
Steinbach-Hallenberg          12
Untermaßfeld                  2
Vachdorf                      3
Wasungen                      7
Zella-Mehlis                  41
Gesamtergebnis                362

