Landkreis Schmalkalden-Meiningen
Dienstag, 18. Mai 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           18.05.2021 10:00 Uhr



Aspekt                                                                          Anzahl

Befundeingänge der letzten 24h (Meldedatum kann abweichen)                       34

Gesamtzahl der bisher Infizierten mit Laborbestätigung                          9.753

Patienten in stationärer Behandlung - Erkrankung an COVID19                      28

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     17

Verstorbene im Zusammenhang mit COVID19                                          352

Gesamtzahl abgelaufener Quarantänezeitraum                                      9.106


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              116

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)            120,9
Quarantänefälle

aktive positive Fälle                                                            295
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          Anzahl
Belrieth                             1
Breitungen/Werra                     6
Brotterode-Trusetal                  8
Christes                             3
Erbenhausen                         18
Fambach                             13
Floh-Seligenthal                    23
Frankenheim/Rhön                     2
Grabfeld                            11
Kaltennordheim                      20
Mehmels                              1
Meiningen                           39
Oberhof                             15
Obermaßfeld-Grimmenthal              2
Oberweid                             7
Rhönblick                            7
Rippershausen                        6
Rohr                                 4
Rosa                                 2
Roßdorf                              1
Schmalkalden                        59
Schwallungen                         2
Schwarza                             3
Steinbach-Hallenberg                 8
Sülzfeld                             1
Untermaßfeld                         1
Vachdorf                             1
Wasungen                             4
Zella-Mehlis                        27
Gesamtergebnis                     295

