Landkreis Schmalkalden-Meiningen
Donnerstag, 20. Mai 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           20.05.2021 10:00 Uhr



Aspekt                                                                        Anzahl

Befundeingänge der letzten 24h (Meldedatum kann abweichen)                       29

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         9.819

Patienten in stationärer Behandlung - Erkrankung an COVID19                      16

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     10

Verstorbene im Zusammenhang mit COVID19                                         360

Gesamtzahl abgelaufener Quarantänezeitraum                                     9.158


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              53

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           123,3
Quarantänefälle

aktive positive Fälle                                                           301
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          Anzahl von
Belrieth                                 2
Breitungen/Werra                         7
Brotterode-Trusetal                      8
Christes                                 3
Erbenhausen                             18
Fambach                                 14
Floh-Seligenthal                        22
Frankenheim/Rhön                         2
Grabfeld                                12
Kaltennordheim                          20
Mehmels                                  1
Meiningen                               31
Oberhof                                 11
Obermaßfeld-Grimmenthal                  2
Oberweid                                16
Rhönblick                                7
Rippershausen                            8
Rohr                                     3
Rosa                                     3
Roßdorf                                  1
Schmalkalden                            58
Schwallungen                             1
Schwarza                                 2
Steinbach-Hallenberg                    12
Sülzfeld                                 2
Wasungen                                 5
Zella-Mehlis                            30
Gesamtergebnis                         301

