Landkreis Schmalkalden-Meiningen
Freitag, 21 Mai 2021


COVID-19 Tägliches Lagebild                                            x
Stand:                                                      21.05.2021 10:00 Uhr



Aspekt                                                                    Anzahl

Befundeingänge der letzten 24h (Meldedatum kann abweichen)                   8

Gesamtzahl der bisher Infizierten mit Laborbestätigung                     9.827

Patienten in stationärer Behandlung - Erkrankung an COVID19                  16

Patienten in stationärer Behandlung - Erkrankung mit COVID19                 10

Verstorbene im Zusammenhang mit COVID19                                     361

Gesamtzahl abgelaufener Quarantänezeitraum                                 9.181


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                          65

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)       124,9
Quarantänefälle

aktive positive Fälle                                                       285
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen
Belrieth                       2
Breitungen/Werra               8
Brotterode-Trusetal            8
Christes                       3
Erbenhausen                   18
Fambach                       13
Floh-Seligenthal              22
Frankenheim/Rhön               1
Grabfeld                      10
Kaltennordheim                19
Meiningen                     26
Oberhof                       10
Obermaßfeld-Grimmenthal        3
Oberweid                      16
Rhönblick                      7
Rippershausen                  8
Rohr                           3
Rosa                           3
Roßdorf                        1
Schmalkalden                  52
Schwallungen                   1
Schwarza                       2
Steinbach-Hallenberg          11
Sülzfeld                       2
Untermaßfeld                   1
Wasungen                       3
Zella-Mehlis                  32
Gesamtergebnis                285

