Landkreis Schmalkalden-Meiningen
Sonntag, 23. Mai 2021


COVID-19 Tägliches Lagebild                                         x
Stand:                                                   23.05.2021 10:00 Uhr



Aspekt                                                                 Anzahl

Befundeingänge der letzten 24h (Meldedatum kann abweichen)                15

Gesamtzahl der bisher Infizierten mit Laborbestätigung                  9.842

Patienten in stationärer Behandlung - Erkrankung an COVID19               16

Patienten in stationärer Behandlung - Erkrankung mit COVID19              7

Verstorbene im Zusammenhang mit COVID19                                  360

Gesamtzahl abgelaufener Quarantänezeitraum                              9.204


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                      117

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)    106,5
Quarantänefälle

aktive positive Fälle                                                    278
Aktive Fälle nach Gemeinden
Zeilenbeschriftungen          Anzahl
Belrieth                                2
Breitungen/Werra                        9
Brotterode-Trusetal                     8
Christes                                3
Einhausen                               1
Erbenhausen                            17
Fambach                                11
Floh-Seligenthal                       20
Frankenheim/Rhön                        1
Grabfeld                                9
Kaltennordheim                         19
Meiningen                              28
Oberhof                                8
Obermaßfeld-Grimmenthal                 4
Oberweid                               16
Rhönblick                              6
Rippershausen                           8
Rohr                                    2
Rosa                                    2
Schmalkalden                           54
Schwallungen                            1
Schwarza                                2
Steinbach-Hallenberg                   10
Sülzfeld                                2
Untermaßfeld                            1
Wasungen                                3
Zella-Mehlis                           31
Gesamtergebnis                         278

