Landkreis Schmalkalden-Meiningen
Donnerstag, 24. Juni 2021


COVID-19 Tägliches Lagebild                                               x
Stand:                                                         24.06.2021 10:00 Uhr



Aspekt                                                                      Anzahl

Befundeingänge seit der letzten Meldung (Meldedatum kann abweichen)            0

Gesamtzahl der bisher Infizierten mit Laborbestätigung                       10.002

Patienten in stationärer Behandlung - Erkrankung an COVID19                    0

Patienten in stationärer Behandlung - Erkrankung mit COVID19                   1

Verstorbene im Zusammenhang mit COVID19                                       368

Gesamtzahl abgelaufener Quarantänezeitraum                                   9.627


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                            0

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)          2,4
Quarantänefälle

aktive positive Fälle                                                          7




Aktive Fälle nach Gemeinden

Zeilenbeschriftungen           Anzahl von fallFallkennzeichen

Erbenhausen                                    1

Floh-Seligenthal                               1

Schmalkalden                                   1

Zella-Mehlis                                   4

Gesamtergebnis                                 7

