Landkreis Schmalkalden-Meiningen
Montag, 26. Juli 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           26.07.2021 10:00 Uhr



Aspekt                                                                         Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)          6

Gesamtzahl der bisher Infizierten mit Laborbestätigung                         10.038

Patienten in stationärer Behandlung - Erkrankung an COVID19                      0

Patienten in stationärer Behandlung - Erkrankung mit COVID19                     1

Verstorbene im Zusammenhang mit COVID19                                         370

Gesamtzahl abgelaufener Quarantänezeitraum                                      9.639


Gesamt-COVID19 Tests vom Vortag durch FD Gesundheit                              0

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)            16,0
Quarantänefälle

aktive positive Fälle                                                            29



Aktive Fälle nach Gemeinden

Zeilenbeschriftungen     Anzahl von fallFallkennzeichen

Brotterode-Trusetal                      1

Kaltennordheim                           1

Meiningen                                3

Oberhof                                  2

Schmalkalden                             3

Schwarza                                 1

Zella-Mehlis                             18

Gesamtergebnis                          29

