Landkreis Schmalkalden-Meiningen
Freitag, 10. September 2021


COVID-19 Tägliches Lagebild                                                 x
Stand:                                                           10.09.2021 10:00 Uhr
Aspekt                                                                        Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)         7

Gesamtzahl der bisher Infizierten mit Laborbestätigung                        10.196

Patienten in stationärer Behandlung - Erkrankung an COVID19                     7

Patienten in stationärer Behandlung - Erkrankung mit COVID19                    0

Verstorbene im Zusammenhang mit COVID19                                        372

Gesamtzahl abgelaufener Quarantänezeitraum                                     9.763
Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst
Gesundheit                                                                      18

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)           27,4

Hospitalisierungsinzidenz laut TMASGFF                                          2,4
Quarantänefälle

aktive positive Fälle                                                           61



Aktive Fälle nach Gemeinden

Breitungen/Werra                      3

Dillstädt                             1

Erbenhausen                           2

Fambach                               1

Frankenheim/Rhön                      7

Grabfeld                              1

Kaltennordheim                        6

Leutersdorf                           5

Meiningen                             13

Rippershausen                         2
Rosa                   1

Roßdorf                2

Schmalkalden           6

Schwallungen           1

Steinbach-Hallenberg   1

Sülzfeld               2

Utendorf               3

Zella-Mehlis           4

Gesamtergebnis         61

