Landkreis Schmalkalden-Meiningen
Donnerstag, 16. September 2021


COVID-19 Tägliches Lagebild                                                         x
Stand:                                                                   16.09.2021 10:00 Uhr
Aspekt                                                                                Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                  7

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                 10.239

Patienten in stationärer Behandlung - Erkrankung an COVID19                              4

Patienten in stationärer Behandlung - Erkrankung mit COVID19                             0

Verstorbene im Zusammenhang mit COVID19                                                 372

Gesamtzahl abgelaufener Quarantänezeitraum                                             9.796
Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst
Gesundheit                                                                              22

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                    37,8

Hospitalisierungsinzidenz laut TMASGFF                                                  0,0
Quarantänefälle

aktive positive Fälle                                                                   71




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                           4

Dillstädt                                                                  1

Erbenhausen                                                                3

Fambach                                                                    3

Floh-Seligenthal                                                           2

Frankenheim/Rhön                                                           5

Grabfeld                                                                   7

Kaltennordheim                                                             2
Leutersdorf            4

Meiningen              9

Neubrunn               2

Rippershausen          3

Ritschenhausen         1

Rohr                   1

Rosa                   1

Roßdorf                2

Schmalkalden           14

Steinbach-Hallenberg   1

Sülzfeld               3

Vachdorf               1

Zella-Mehlis           2

Gesamtergebnis         71

