Landkreis Schmalkalden-Meiningen
Freitag, 17. September 2021


COVID-19 Tägliches Lagebild                                                         x
Stand:                                                                   17.09.2021 10:00 Uhr
Aspekt                                                                                Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                 16

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                 10.255

Patienten in stationärer Behandlung - Erkrankung an COVID19                              4

Patienten in stationärer Behandlung - Erkrankung mit COVID19                             1

Verstorbene im Zusammenhang mit COVID19                                                 372

Gesamtzahl abgelaufener Quarantänezeitraum                                             9.799
Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst
Gesundheit                                                                              37

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                    47,5

Hospitalisierungsinzidenz laut TMASGFF                                                  1,6
Quarantänefälle

aktive positive Fälle                                                                   84




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                           4

Dillstädt                                                                  1

Erbenhausen                                                                3

Fambach                                                                    3

Floh-Seligenthal                                                           3

Frankenheim/Rhön                                                           5

Grabfeld                                                                   8

Kaltennordheim                                                             3
Leutersdorf            4

Meiningen              10

Neubrunn               2

Rhönblick              3

Rippershausen          3

Ritschenhausen         2

Rohr                   1

Rosa                   1

Roßdorf                3

Schmalkalden           17

Steinbach-Hallenberg   1

Sülzfeld               3

Vachdorf               2

Zella-Mehlis           2

Gesamtergebnis         84

