Landkreis Schmalkalden-Meiningen
Dienstag, 21. September 2021


COVID-19 Tägliches Lagebild                                                         x
Stand:                                                                   21.09.2021 10:00 Uhr
Aspekt                                                                                Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                 39

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                 10.294

Patienten in stationärer Behandlung - Erkrankung an COVID19                              4

Patienten in stationärer Behandlung - Erkrankung mit COVID19                             1

Verstorbene im Zusammenhang mit COVID19                                                 372

Gesamtzahl abgelaufener Quarantänezeitraum                                             9.828
Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst
Gesundheit                                                                              43

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                    58,0

Hospitalisierungsinzidenz laut TMASGFF                                                  1,6
Quarantänefälle

aktive positive Fälle                                                                   94




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                           6

Dillstädt                                                                  1

Erbenhausen                                                                2

Fambach                                                                    4

Floh-Seligenthal                                                           4

Frankenheim/Rhön                                                           3

Grabfeld                                                                   15

Kaltennordheim                                                             1
Leutersdorf            2

Meiningen              14

Neubrunn               3

Rhönblick              5

Rippershausen          1

Ritschenhausen         2

Rohr                   1

Rosa                   1

Roßdorf                5

Schmalkalden           18

Steinbach-Hallenberg   1

Sülzfeld               1

Vachdorf               2

Zella-Mehlis           2

Gesamtergebnis         94

