Landkreis Schmalkalden-Meiningen
Dienstag, 28. September 2021


COVID-19 Tägliches Lagebild                                                          x
Stand:                                                                    28.09.2021 10:00 Uhr
Aspekt                                                                                    Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                     11

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                    10.388

Patienten in stationärer Behandlung - Erkrankung an COVID19                                  5

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                 1

Verstorbene im Zusammenhang mit COVID19                                                    372

Gesamtzahl abgelaufener Quarantänezeitraum                                                 9.879


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit           38

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                       69,2

Hospitalisierungsinzidenz laut TMASGFF                                                      3,2

ITS Auslastung Thüringen laut DIVI                                                         2,19

Aktuelle Warnstufe laut TMASGFF                                                              0
Quarantänefälle

aktive positive Fälle                                                                      137




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                                 5

Brotterode-Trusetal                                                              2

Dillstädt                                                                        2

Erbenhausen                                                                      2

Fambach                                                                          2

Floh-Seligenthal                                                                 9
Grabfeld                  27

Kaltennordheim             3

Kühndorf                   1

Meiningen                 25

Neubrunn                   3

Obermaßfeld-Grimmenthal    1

Rhönblick                  5

Roßdorf                    4

Schmalkalden              23

Steinbach-Hallenberg      12

Utendorf                   3

Wasungen                   2

Zella-Mehlis               6

Gesamtergebnis            137

