Landkreis Schmalkalden-Meiningen
Montag, 4. Oktober 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                                           01.10.2021 10:00 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                            27

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           10.504

Patienten in stationärer Behandlung - Erkrankung an COVID19                                         8

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                        4

Verstorbene im Zusammenhang mit COVID19                                                           372

Gesamtzahl abgelaufener Quarantänezeitraum                                                        9.961


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                  56

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                              97,4

Hospitalisierungsinzidenz laut TMASGFF                                                             8,0

ITS Auslastung Thüringen laut TMASGFF                                                              2,5

Aktuelle Warnstufe laut TMASGFF                                                                     1
Quarantänefälle

aktive positive Fälle                                                                             171




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                       8

Brotterode-Trusetal                                                    5

Dillstädt                                                              1

Erbenhausen                                                            10

Floh-Seligenthal                                                       9

Frankenheim/Rhön                                                       2
Grabfeld                   21

Mehmels                    1

Meiningen                  35

Neubrunn                   2

Obermaßfeld-Grimmenthal    3

Rhönblick                  1

Roßdorf                    3

Schmalkalden               22

Schwarza                   1

Steinbach-Hallenberg       15

Sülzfeld                   1

Utendorf                   6

Wasungen                   13

Zella-Mehlis               12

Gesamtergebnis            171

