Landkreis Schmalkalden-Meiningen
Dienstag, 5. Oktober 2021


COVID-19 Tägliches Lagebild                                                                    x
Stand:                                                                              05.10.2021 10:00 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                            43

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           10.547

Patienten in stationärer Behandlung - Erkrankung an COVID19                                         8

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                        7

Verstorbene im Zusammenhang mit COVID19                                                            372

Gesamtzahl abgelaufener Quarantänezeitraum                                                        9.974


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                  21

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                              104,6

Hospitalisierungsinzidenz laut TMASGFF                                                             8,9

ITS Auslastung Thüringen laut TMASGFF                                                              3,5

Aktuelle Warnstufe laut TMASGFF                                                                     1
Quarantänefälle

aktive positive Fälle                                                                              201




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                         9

Brotterode-Trusetal                                                      5

Dillstädt                                                                1

Erbenhausen                                                              11

Floh-Seligenthal                                                         11

Frankenheim/Rhön                                                         2
Friedelshausen             1

Grabfeld                   20

Mehmels                    1

Meiningen                  39

Neubrunn                   2

Obermaßfeld-Grimmenthal    3

Rhönblick                  1

Roßdorf                    3

Schmalkalden               22

Steinbach-Hallenberg       21

Sülzfeld                   2

Untermaßfeld               1

Utendorf                   6

Wasungen                   19

Zella-Mehlis               21

Gesamtergebnis            201

