Landkreis Schmalkalden-Meiningen
Mittwoch, 6. Oktober 2021


COVID-19 Tägliches Lagebild                                                                    x
Stand:                                                                              06.10.2021 10:00 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                            52

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           10.599

Patienten in stationärer Behandlung - Erkrankung an COVID19                                         7

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                       13

Verstorbene im Zusammenhang mit COVID19                                                            372

Gesamtzahl abgelaufener Quarantänezeitraum                                                        9.994


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                  24

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                              121,5

Hospitalisierungsinzidenz laut TMASGFF                                                             8,9

ITS Auslastung Thüringen laut TMASGFF                                                              4,2

Aktuelle Warnstufe laut TMASGFF                                                                     1
Quarantänefälle

aktive positive Fälle                                                                              233




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Breitungen/Werra                                                         8

Brotterode-Trusetal                                                      8

Dillstädt                                                                1

Erbenhausen                                                              12

Floh-Seligenthal                                                         11

Frankenheim/Rhön                                                         2
Friedelshausen             1

Grabfeld                   22

Kaltennordheim             2

Kühndorf                   1

Mehmels                    1

Meiningen                  47

Neubrunn                   1

Oberhof                    1

Obermaßfeld-Grimmenthal    3

Oberweid                   2

Rhönblick                  1

Roßdorf                    2

Schmalkalden               17

Schwarza                   1

Steinbach-Hallenberg       22

Sülzfeld                   2

Untermaßfeld               1

Utendorf                   6

Wasungen                   23

Zella-Mehlis               35

Gesamtergebnis            233

