Landkreis Schmalkalden-Meiningen
Donnerstag, 7. Oktober 2021


COVID-19 Tägliches Lagebild                                                                           x
Stand:                                                                           07.10.2021, 10
                                                                                             10 Uhr
Aspekt                                                                                                Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                                    21

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                                    10.620

Patienten in stationärer Behandlung - Erkrankung an COVID19                                                 5

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                                8

Verstorbene im Zusammenhang mit COVID19                                                                    374

Gesamtzahl abgelaufener Quarantänezeitraum                                                                10.013


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                          25

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                                      119,9

Hospitalisierungsinzidenz laut TMASGFF                                                                     8,9

ITS Auslastung Thüringen laut TMASGFF                                                                      4,4

Aktuelle Warnstufe laut TMASGFF                                                                             2
Quarantänefälle

aktive positive Fälle                                                                                      233




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Birx                                                                   1

Breitungen/Werra                                                       9

Brotterode-Trusetal                                                    8

Dillstädt                                                              1

Erbenhausen                                                            12

Floh-Seligenthal                                                       10
Frankenheim/Rhön           2

Friedelshausen             1

Grabfeld                   23

Kaltennordheim             3

Kühndorf                   1

Mehmels                    1

Meiningen                  47

Oberhof                    1

Obermaßfeld-Grimmenthal    3

Oberweid                   2

Rhönblick                  1

Roßdorf                    2

Schmalkalden               18

Schwarza                   1

Steinbach-Hallenberg       18

Sülzfeld                   2

Untermaßfeld               1

Utendorf                   5

Wasungen                   23

Zella-Mehlis               37

Gesamtergebnis            233

