Landkreis Schmalkalden-Meiningen
Freitag, 8. Oktober 2021


COVID-19 Tägliches Lagebild                                                                      x
Stand:                                                     10               08.10.2021, 10 Uhr
Aspekt                                                                                               Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                               23

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                               10.643

Patienten in stationärer Behandlung - Erkrankung an COVID19                                            4

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                           8

Verstorbene im Zusammenhang mit COVID19                                                               375

Gesamtzahl abgelaufener Quarantänezeitraum                                                           10.034


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                     19

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                                 127,2

Hospitalisierungsinzidenz laut TMASGFF                                                                8,0

ITS Auslastung Thüringen laut TMASGFF                                                                 4,0

Aktuelle Warnstufe laut TMASGFF                                                                        2
Quarantänefälle

aktive positive Fälle                                                                                 234




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Birx                                                                   2

Breitungen/Werra                                                       9

Brotterode-Trusetal                                                    8

Erbenhausen                                                            7

Floh-Seligenthal                                                       9

Frankenheim/Rhön                                                       2
Friedelshausen             1

Grabfeld                   23

Kaltennordheim             3

Kühndorf                   1

Mehmels                    1

Meiningen                  47

Oberhof                    1

Obermaßfeld-Grimmenthal    3

Oberweid                   2

Roßdorf                    2

Schmalkalden               20

Schwarza                   2

Steinbach-Hallenberg       17

Sülzfeld                   2

Untermaßfeld               1

Utendorf                   3

Wasungen                   28

Zella-Mehlis               40

Gesamtergebnis            234

