Landkreis Schmalkalden-Meiningen
Dienstag, 12. Oktober 2021


COVID-19 Tägliches Lagebild                                                                      x
Stand:                                                     10               12.10.2021, 10 Uhr
Aspekt                                                                                               Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                               16

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                               10.711

Patienten in stationärer Behandlung - Erkrankung an COVID19                                            6

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                          17

Verstorbene im Zusammenhang mit COVID19                                                               375

Gesamtzahl abgelaufener Quarantänezeitraum                                                           10.097


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                     40

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                                 115,9

Hospitalisierungsinzidenz laut TMASGFF                                                                13,7

ITS Auslastung Thüringen laut TMASGFF                                                                 4,7

Aktuelle Warnstufe laut TMASGFF                                                                        2
Quarantänefälle

aktive positive Fälle                                                                                 239




Aktive Fälle nach Gemeinden
lenbeschriftungen                               Anzahl von fallFallkennzeichen

Birx                                                                   2

Breitungen/Werra                                                       11

Brotterode-Trusetal                                                    6

Erbenhausen                                                            6

Floh-Seligenthal                                                       6

Frankenheim/Rhön                                                       2
Friedelshausen             1

Grabfeld                   23

Kaltennordheim             6

Kühndorf                   4

Mehmels                    1

Meiningen                  46

Neubrunn                   1

Oberhof                    2

Obermaßfeld-Grimmenthal    2

Oberweid                   2

Rhönblick                  2

Roßdorf                    2

Schmalkalden               17

Schwarza                   3

Steinbach-Hallenberg       18

Sülzfeld                   2

Untermaßfeld               2

Utendorf                   1

Wasungen                   24

Zella-Mehlis               47

Gesamtergebnis            239

