Landkreis Schmalkalden-Meiningen
Mittwoch, 13. Oktober 2021


COVID-19 Tägliches Lagebild                                                                        x
Stand:                                                      10                13.10.2021, 10 Uhr
Aspekt                                                                                                 Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                                 52

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                                 10.763

Patienten in stationärer Behandlung - Erkrankung an COVID19                                              7

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                            17

Verstorbene im Zusammenhang mit COVID19                                                                 376

Gesamtzahl abgelaufener Quarantänezeitraum                                                             10.120


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                        9

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                                   128,0

Hospitalisierungsinzidenz laut TMASGFF                                                                  10,5

ITS Auslastung Thüringen laut TMASGFF                                                                   5,6

Aktuelle Warnstufe laut TMASGFF                                                                          2
Quarantänefälle

aktive positive Fälle                                                                                   267




         Aktive Fälle nach Gemeinden

         Zeilenbeschriftungen                            Anzahl von fallFallkennzeichen

         Birx                                                          3

         Breitungen/Werra                                              12

         Brotterode-Trusetal                                           4

         Erbenhausen                                                   4

         Floh-Seligenthal                                              7

         Frankenheim/Rhön                                              2
Friedelshausen             1

Grabfeld                  23

Kaltennordheim             8

Kühndorf                   5

Meiningen                 54

Neubrunn                   1

Oberhof                    2

Obermaßfeld-Grimmenthal    2

Oberweid                   2

Rhönblick                  2

Roßdorf                    3

Schmalkalden              21

Schwarza                   4

Steinbach-Hallenberg      17

Sülzfeld                   2

Untermaßfeld               2

Utendorf                   1

Wasungen                  27

Zella-Mehlis              58

Gesamtergebnis            267

