Landkreis Schmalkalden-Meiningen
Dienstag, 19. Oktober 2021


COVID-19 Tägliches Lagebild                                                                  x
Stand:                                                   10             19.10.2021, 10 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                           22

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           10.913

Patienten in stationärer Behandlung - Erkrankung an COVID19                                        8

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                      17

Verstorbene im Zusammenhang mit COVID19                                                           380

Gesamtzahl abgelaufener Quarantänezeitraum                                                       10.261


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                 33

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                             146,5

Hospitalisierungsinzidenz laut TMASGFF                                                            8,0

ITS Auslastung Thüringen laut TMASGFF                                                             5,9

Aktuelle Warnstufe laut TMASGFF                                                                    2
Quarantänefälle

aktive positive Fälle                                                                             272



                        Aktive Fälle nach Gemeinden


                        Birx                                           5
                        Breitungen/Werra                               12
                        Brotterode-Trusetal                            3
                        Dillstädt                                      1
                        Erbenhausen                                    3
                        Floh-Seligenthal                               9
                        Frankenheim/Rhön                               5
                        Friedelshausen                                 1
                        Grabfeld                                       20
Kaltennordheim            16
Kühndorf                   4
Meiningen                 51
Neubrunn                   3
Obermaßfeld-Grimmenthal    3
Rhönblick                  3
Roßdorf                    3
Schmalkalden              41
Schwallungen               9
Schwarza                   4
Steinbach-Hallenberg      11
Sülzfeld                   2
Untermaßfeld               1
Utendorf                   1
Wasungen                  16
Zella-Mehlis              45
Gesamtergebnis            272

