Landkreis Schmalkalden-Meiningen
Mittwoch, 27. Oktober 2021


COVID-19 Tägliches Lagebild                                                                  x
Stand:                                                   10             27.10.2021, 10 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                           123

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           11.343

Patienten in stationärer Behandlung - Erkrankung an COVID19                                       22

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                      11

Verstorbene im Zusammenhang mit COVID19                                                           386

Gesamtzahl abgelaufener Quarantänezeitraum                                                       10.474


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                 22

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                             235,8

Hospitalisierungsinzidenz laut TMASGFF                                                            16,1

ITS Auslastung Thüringen laut TMASGFF                                                             7,8

Aktuelle Warnstufe laut TMASGFF                                                                    2
Quarantänefälle

aktive positive Fälle                                                                             483



                        Aktive Fälle nach Gemeinden


                        Birx                                           2
                        Breitungen/Werra                               26
                        Brotterode-Trusetal                            6
                        Christes                                       1
                        Dillstädt                                      2
                        Einhausen                                      1
                        Erbenhausen                                    4
                        Fambach                                        2
                        Floh-Seligenthal                               27
Frankenheim/Rhön          26
Friedelshausen             4
Grabfeld                  21
Kaltennordheim             9
Mehmels                    1
Meiningen                 95
Neubrunn                   1
Obermaßfeld-Grimmenthal    3
Oberweid                   1
Rhönblick                  5
Rippershausen              2
Ritschenhausen             1
Roßdorf                    2
Schmalkalden              66
Schwallungen              12
Schwarza                  10
Steinbach-Hallenberg      48
Sülzfeld                   4
Untermaßfeld              15
Utendorf                   2
Wasungen                  20
Zella-Mehlis              64
Gesamtergebnis            483

