Landkreis Schmalkalden-Meiningen
Montag, 08. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            08.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          276

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          12.332

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      43

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                      9

Verstorbene im Zusammenhang mit COVID19                                                          394

Gesamtzahl abgelaufener Quarantänezeitraum                                                      11.036


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                20

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            503,1

Hospitalisierungsinzidenz laut TMASGFF                                                           12,1

ITS Auslastung Thüringen laut TMASGFF                                                            18,4

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                            902



         Aktive Fälle nach Gemeinden



         Birx                                             2

         Breitungen/Werra                                22

         Brotterode-Trusetal                             32

         Christes                                         3

         Dillstädt                                        4

         Ellinghausen                                     1

         Erbenhausen                                      7
Fambach                   12

Floh-Seligenthal          52

Frankenheim/Rhön          21

Friedelshausen             2

Grabfeld                  25

Kaltennordheim            36

Kühndorf                  13

Leutersdorf                1

Mehmels                    1

Meiningen                 218

Oberhof                    1

Obermaßfeld-Grimmenthal    7

Rhönblick                 18

Rippershausen             13

Ritschenhausen             5

Rohr                       3

Rosa                      10

Roßdorf                    2

Schmalkalden              106

Schwallungen              10

Schwarza                  15

Steinbach-Hallenberg      112

Sülzfeld                   9

Untermaßfeld               7

Utendorf                   1

Vachdorf                   5

Wasungen                  43

Zella-Mehlis              83
Gesamtergebnis   902

