Landkreis Schmalkalden-Meiningen
Donnerstag, 11. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            11.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          150

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          12.752

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      53

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     16

Verstorbene im Zusammenhang mit COVID19                                                          403

Gesamtzahl abgelaufener Quarantänezeitraum                                                      11.263


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                 6

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            535,3

Hospitalisierungsinzidenz laut TMASGFF                                                           20,9

ITS Auslastung Thüringen laut TMASGFF                                                            21,7

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           1086



         Aktive Fälle nach Gemeinden



         Belrieth                                         1

         Birx                                             2

         Breitungen/Werra                                42

         Brotterode-Trusetal                             50

         Christes                                         3

         Dillstädt                                        3

         Einhausen                                        1
Ellingshausen              1

Erbenhausen                6

Fambach                   14

Floh-Seligenthal          74

Frankenheim/Rhön          31

Friedelshausen             4

Grabfeld                  39

Kaltennordheim            42

Kühndorf                  15

Leutersdorf                1

Mehmels                    1

Meiningen                 218

Neubrunn                   2

Oberhof                    3

Obermaßfeld-Grimmenthal   11

Oberweid                   1

Rhönblick                 21

Rippershausen             11

Ritschenhausen             4

Rohr                       6

Rosa                      10

Roßdorf                    2

Schmalkalden              125

Schwallungen              16

Schwarza                  16

Steinbach-Hallenberg      148

Sülzfeld                  10

Untermaßfeld              12
Vachdorf          7

Wasungen          43
Zella-Mehlis      90
Gesamtergebnis   1086

