Landkreis Schmalkalden-Meiningen
Freitag, 12. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            12.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          214

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          12.966

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      58

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     18

Verstorbene im Zusammenhang mit COVID19                                                          403

Gesamtzahl abgelaufener Quarantänezeitraum                                                      11.333


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                10

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            602,9

Hospitalisierungsinzidenz laut TMASGFF                                                           17,7

ITS Auslastung Thüringen laut TMASGFF                                                            22,4

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           1230



         Aktive Fälle nach Gemeinden



         Belrieth                                         1

         Birx                                             2

         Breitungen/Werra                                52

         Brotterode-Trusetal                             58

         Christes                                         4

         Dillstädt                                        4

         Einhausen                                        1
Ellingshausen              2

Erbenhausen                8

Fambach                   15

Floh-Seligenthal          86

Frankenheim/Rhön          31

Friedelshausen             4

Grabfeld                  44

Kaltennordheim            50

Kühndorf                  17

Leutersdorf                1

Mehmels                    2

Meiningen                 237

Neubrunn                   2

Oberhof                    7

Obermaßfeld-Grimmenthal   15

Oberweid                   2

Rhönblick                 22

Rippershausen             13

Ritschenhausen             4

Rohr                       6

Rosa                      10

Roßdorf                    2

Schmalkalden              136

Schwallungen              28

Schwarza                  22

Steinbach-Hallenberg      167

Sülzfeld                  11

Untermaßfeld              14
Vachdorf          7

Wasungen          49
Zella-Mehlis      90
Gesamtergebnis   1230

