Landkreis Schmalkalden-Meiningen
Dienstag, 16. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            16.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          121

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          13.267

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      63

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     23

Verstorbene im Zusammenhang mit COVID19                                                          407

Gesamtzahl abgelaufener Quarantänezeitraum                                                      11.727


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                19

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            614,1

Hospitalisierungsinzidenz laut TMASGFF                                                           13,7

ITS Auslastung Thüringen laut TMASGFF                                                            27,6

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           1133



         Aktive Fälle nach Gemeinden



         Belrieth                                         3

         Birx                                             2

         Breitungen/Werra                                66

         Brotterode-Trusetal                             57

         Christes                                         2

         Dillstädt                                        4

         Einhausen                                        2
Erbenhausen                4

Fambach                   13

Floh-Seligenthal          82

Frankenheim/Rhön          30

Friedelshausen             2

Grabfeld                  43

Kaltennordheim            43

Kühndorf                  14

Leutersdorf                2

Meiningen                 207

Neubrunn                   2

Oberhof                    7

Obermaßfeld-Grimmenthal   12

Oberweid                   4

Rhönblick                 19

Rippershausen             10

Ritschenhausen             1

Rohr                       4

Rosa                       5

Roßdorf                    3

Schmalkalden              122

Schwallungen              32

Schwarza                  20

Steinbach-Hallenberg      148

Sülzfeld                   6

Untermaßfeld              14

Utendorf                   4

Vachdorf                   6
Wasungen          62
Zella-Mehlis      76
Gesamtergebnis   1133

