Landkreis Schmalkalden-Meiningen
Mittwoch, 17. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            17.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          83

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          13.350

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      63

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     23

Verstorbene im Zusammenhang mit COVID19                                                          408

Gesamtzahl abgelaufener Quarantänezeitraum                                                      11.820


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                15

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            562,6

Hospitalisierungsinzidenz laut TMASGFF                                                           9,7

ITS Auslastung Thüringen laut TMASGFF                                                            28,3

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           1122



         Aktive Fälle nach Gemeinden



         Belrieth                                         3

         Birx                                             1

         Breitungen/Werra                                63

         Brotterode-Trusetal                             52

         Christes                                         2

         Dillstädt                                        5

         Einhausen                                        2
Erbenhausen                4

Fambach                   13

Floh-Seligenthal          80

Frankenheim/Rhön          26

Friedelshausen             2

Grabfeld                  41

Kaltennordheim            43

Kühndorf                  15

Leutersdorf                1

Meiningen                 196

Neubrunn                   2

Oberhof                    8

Obermaßfeld-Grimmenthal   12

Oberweid                   4

Rhönblick                 17

Rippershausen             10

Ritschenhausen             1

Rohr                       4

Rosa                       4

Roßdorf                    3

Schmalkalden              116

Schwallungen              34

Schwarza                  20

Steinbach-Hallenberg      168

Sülzfeld                   8

Untermaßfeld              14

Utendorf                   4

Vachdorf                   6
Wasungen          61
Zella-Mehlis      77
Gesamtergebnis   1122

