Landkreis Schmalkalden-Meiningen
Dienstag, 14. Dezember 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            14.12.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          185

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          18.735

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      83

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     33

Verstorbene im Zusammenhang mit COVID19                                                          471

Gesamtzahl abgelaufener Quarantänezeitraum                                                      16.039


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                 6

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1027,0

Hospitalisierungsinzidenz laut TMASGFF                                                           27,4

ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 31,7

Aktuelle Warnstufe laut TMASGFF                                                                   4
Quarantänefälle

aktive positive Fälle                                                                           2225




         Aktive Fälle nach Gemeinden
         Zeilenbeschriftungen

         Belrieth                                         15

         Birx                                             1

         Breitungen/Werra                                 90

         Brotterode-Trusetal                             183

         Christes                                         15

         Dillstädt                                        14
Einhausen                  6

Ellingshausen              2

Erbenhausen               12

Fambach                   41

Floh-Seligenthal          171

Frankenheim/Rhön           7

Friedelshausen             6

Grabfeld                  97

Kaltennordheim            72

Kühndorf                  26

Leutersdorf                4

Meiningen                 313

Neubrunn                  10

Oberhof                   32

Obermaßfeld-Grimmenthal   25

Oberweid                   8

Rhönblick                 39

Rippershausen              6

Ritschenhausen             6

Rohr                      15

Rosa                       7

Roßdorf                    8

Schmalkalden              418

Schwallungen              33

Schwarza                  29

Steinbach-Hallenberg      168

Sülzfeld                   4

Untermaßfeld              21
Utendorf          11

Vachdorf          19

Wasungen          55

Zella-Mehlis     236
Gesamtergebnis   2225

