Landkreis Schmalkalden-Meiningen
Montag, 20. Dezember 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            20.12.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          71

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          19.868

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      87

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     26

Verstorbene im Zusammenhang mit COVID19                                                          483

Gesamtzahl abgelaufener Quarantänezeitraum                                                      17.145

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            983,60

Hospitalisierungsinzidenz laut TMASGFF                                                           25,8

ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 34,3

Aktuelle Warnstufe laut TMASGFF                                                                   4

Quarantänefälle

aktive positive Fälle                                                                           2240



         Aktive Fälle nach Gemeinden
         Zeilenbeschriftungen              Anzahl

         Belrieth                                         18

         Birx                                             1

         Breitungen/Werra                                 82

         Brotterode-Trusetal                             175

         Christes                                         15

         Dillstädt                                        13

         Einhausen                                        10

         Ellingshausen                                    8
Erbenhausen               12

Fambach                   40

Floh-Seligenthal          139

Frankenheim/Rhön           7

Friedelshausen             1

Grabfeld                  112

Kaltennordheim            62

Kühndorf                  27

Leutersdorf                9

Meiningen                 337

Neubrunn                   5

Oberhof                   38

Obermaßfeld-Grimmenthal   36

Oberweid                   5

Rhönblick                 39

Rippershausen             17

Ritschenhausen            12

Rohr                      14

Rosa                      17

Roßdorf                    7

Schmalkalden              419

Schwallungen              23

Schwarza                  27

Steinbach-Hallenberg      161

Sülzfeld                   6

Untermaßfeld              16

Utendorf                   5

Vachdorf                  19
Wasungen          71

Zella-Mehlis     235

Gesamtergebnis   2240

