Landkreis Schmalkalden-Meiningen
Donnerstag, 23. Dezember 2021


COVID-19 Tägliches Lagebild                                                                    x
Stand:                                                   10               23.12.2021, 10 Uhr
Aspekt                                                                                             Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                             64
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                             20.295
Patienten in stationärer Behandlung - Erkrankung an COVID19                                         76
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                        20
Verstorbene im Zusammenhang mit COVID19                                                             496
Gesamtzahl abgelaufener Quarantänezeitraum                                                         17.879
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                               630,20
Hospitalisierungsinzidenz laut TMASGFF                                                              27,4
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                    34,2
Aktuelle Warnstufe laut TMASGFF                                                                      4
Quarantänefälle

aktive positive Fälle                                                                              1920



         Aktive Fälle nach Gemeinden

         Zeilenbeschriftungen            Anzahl von fallFallkennzeichen

         Belrieth                                        11

         Breitungen/Werra                                75

         Brotterode-Trusetal                             166

         Christes                                         9

         Dillstädt                                       16

         Einhausen                                       10

         Ellingshausen                                    7

         Erbenhausen                                     11
Fambach                   38

Floh-Seligenthal          119

Frankenheim/Rhön           4

Friedelshausen             1

Grabfeld                  98

Kaltennordheim            57

Kühndorf                  17

Leutersdorf                8

Mehmels                    2

Meiningen                 306

Neubrunn                   2

Oberhof                   34

Obermaßfeld-Grimmenthal   29

Oberweid                   2

Rhönblick                 31

Rippershausen             18

Ritschenhausen             9

Rohr                      16

Rosa                      14

Roßdorf                    9

Schmalkalden              340

Schwallungen              19

Schwarza                  15

Steinbach-Hallenberg      134

Sülzfeld                   4

Untermaßfeld              10

Utendorf                   1

Vachdorf                  21

Wasungen                  56
Zella-Mehlis     201
Gesamtergebnis   1920

