Landkreis Schmalkalden-Meiningen
Mittwoch, 29. Dezember 2021


COVID-19 Tägliches Lagebild                                                                  x
Stand:                                                   10             29.12.2021, 10 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                           109
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           20.595
Patienten in stationärer Behandlung - Erkrankung an COVID19                                       68
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                      11
Verstorbene im Zusammenhang mit COVID19                                                           507
Gesamtzahl abgelaufener Quarantänezeitraum                                                       18.983
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                             262,4
Hospitalisierungsinzidenz laut TMASGFF                                                            12,9
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                  32,7
Aktuelle Warnstufe laut TMASGFF                                                                    3
Quarantänefälle

aktive positive Fälle                                                                            1.105



         Aktive Fälle nach Gemeinden

         Zeilenbeschriftungen                Anzahl von fallFallkennzeichen

         Belrieth                                               2

         Breitungen/Werra                                       33

         Brotterode-Trusetal                                   118

         Christes                                               3

         Dillstädt                                              8

         Einhausen                                              2

         Ellingshausen                                          2

         Erbenhausen                                            8
Fambach                   24

Floh-Seligenthal          77

Frankenheim/Rhön           2

Friedelshausen             1

Grabfeld                  41

Kaltennordheim            31

Kühndorf                  10

Leutersdorf                5

Mehmels                    2

Meiningen                 182

Neubrunn                   3

Oberhof                   36

Obermaßfeld-Grimmenthal   14

Oberweid                   1

Rhönblick                 19

Rippershausen              8

Ritschenhausen             1

Rohr                      14

Rosa                       4

Roßdorf                    6

Schmalkalden              198

Schwallungen               9

Schwarza                  10

Steinbach-Hallenberg      79

Sülzfeld                   1

Untermaßfeld              12

Vachdorf                  13

Wasungen                  26
Zella-Mehlis     100

Gesamtergebnis   1.105

