Landkreis Schmalkalden-Meiningen
Donnerstag, 29. Dezember 2021


COVID-19 Tägliches Lagebild                                                                  x
Stand:                                                   10             30.12.2021, 10 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                           242
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           20.837
Patienten in stationärer Behandlung - Erkrankung an COVID19                                       66
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                       9
Verstorbene im Zusammenhang mit COVID19                                                           513
Gesamtzahl abgelaufener Quarantänezeitraum                                                       19.178
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                             369,4
Hospitalisierungsinzidenz laut TMASGFF                                                            16,1
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                  33,9
Aktuelle Warnstufe laut TMASGFF                                                                    3
Quarantänefälle

aktive positive Fälle                                                                            1.146




         Aktive Fälle nach Gemeinden         Anzahl von fallFallkennzeichen

         Belrieth                                               2

         Breitungen/Werra                                       39

         Brotterode-Trusetal                                   126

         Christes                                               2

         Dillstädt                                              9

         Einhausen                                              1

         Ellingshausen                                          1

         Erbenhausen                                            7
Fambach                   29

Floh-Seligenthal          74

Frankenheim/Rhön           2

Friedelshausen             3

Grabfeld                  49

Kaltennordheim            33

Kühndorf                  10

Leutersdorf                2

Mehmels                    2

Meiningen                 186

Neubrunn                   3

Oberhof                   40

Obermaßfeld-Grimmenthal   15

Oberweid                   1

Rhönblick                 17

Rippershausen              4

Ritschenhausen             1

Rohr                      11

Rosa                       3

Roßdorf                   10

Schmalkalden              203

Schwallungen              14

Schwarza                  11

Steinbach-Hallenberg      80

Untermaßfeld              12

Vachdorf                  11

Wasungen                  23

Zella-Mehlis              110
Gesamtergebnis   1.146

