Landkreis Schmalkalden-Meiningen
Mittwoch, 26. Januar 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            26.01.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          192
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          22.281
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      17
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     11
Verstorbene im Zusammenhang mit COVID19                                                          547
Gesamtzahl abgelaufener Quarantänezeitraum                                                      21.151
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            343,7
Hospitalisierungsinzidenz laut TMASGFF                                                           10,5
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 13,2
Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                            583




                                                Anzahl von
         Aktive Fälle nach Gemeinden            fallFallkennzeichen

         Breitungen/Werra                                     11
         Brotterode-Trusetal                                  20
         Dillstädt                                            2
         Einhausen                                            2
         Ellingshausen                                        2
         Erbenhausen                                          8
         Fambach                                              6
         Floh-Seligenthal                                     11
         Frankenheim/Rhön                                     2
Friedelshausen             6
Grabfeld                  26
Kaltennordheim            50
Kühndorf                   3
Leutersdorf                1

Mehmels                    4
Meiningen                 139

Neubrunn                   5
Oberhof                    8

Obermaßfeld-Grimmenthal    3

Oberweid                   2
Rhönblick                  8
Rippershausen              1
Ritschenhausen             5
Rohr                      25
Rosa                       2

Roßdorf                    1
Schmalkalden              56
Schwallungen              17
Steinbach-Hallenberg      22
Sülzfeld                   3
Untermaßfeld               7
Utendorf                   3
Vachdorf                   3
Wasungen                  76
Zella-Mehlis              43
Gesamtergebnis            583

