Landkreis Schmalkalden-Meiningen
Freitag, 4. Februar 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            04.02.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          106
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          23.313
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      18
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                      6
Verstorbene im Zusammenhang mit COVID19                                                          556
Gesamtzahl abgelaufener Quarantänezeitraum                                                      21.726
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            621,4
Hospitalisierungsinzidenz laut TMASGFF                                                           10,5
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 8,6
Aktuelle Warnstufe laut TMASGFF                                                                   2
Quarantänefälle

aktive positive Fälle                                                                           1.031



         Aktive Fälle nach Gemeinden
         Zeilenbeschriftungen

         Belrieth                                         2

         Birx                                             1

         Breitungen/Werra                                 14

         Brotterode-Trusetal                              22

         Christes                                         9

         Dillstädt                                        11

         Einhausen                                        3

         Erbenhausen                                      5
Fambach                    4

Floh-Seligenthal          48

Frankenheim/Rhön          11

Friedelshausen             7

Grabfeld                  55

Kaltennordheim            103

Kühndorf                   7

Leutersdorf                2

Mehmels                    8

Meiningen                 232

Neubrunn                   5

Oberhof                    8

Obermaßfeld-Grimmenthal    8

Oberweid                   9

Rhönblick                 35

Rippershausen              7

Ritschenhausen             2

Rohr                      14

Rosa                       4

Roßdorf                    1

Schmalkalden              141

Schwallungen              23

Schwarza                   6

Steinbach-Hallenberg      24

Sülzfeld                   9

Untermaßfeld              10

Utendorf                   2

Vachdorf                   4
Wasungen         113

Zella-Mehlis      62

Gesamtergebnis   1.031

