Landkreis Schmalkalden-Meiningen
Donnerstag, 24. Februar 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            24.02.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          278
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          27.376
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      17
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     14
Verstorbene im Zusammenhang mit COVID19                                                          595
Gesamtzahl abgelaufener Quarantänezeitraum                                                      24.618
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1157,6
Hospitalisierungsinzidenz laut TMASGFF                                                           18,5
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 7,3
Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           2.163


         Aktive Fälle nach Gemeinden
         Belrieth                                         8
         Birx                                             2

         Breitungen/Werra                                 56

         Brotterode-Trusetal                              57

         Christes                                         6

         Dillstädt                                        9

         Einhausen                                        14

         Ellingshausen                                    1

         Erbenhausen                                      23
Fambach                   15

Floh-Seligenthal          79

Frankenheim/Rhön          21

Friedelshausen             4

Grabfeld                  127

Kaltennordheim            74

Kühndorf                  13

Leutersdorf                2

Mehmels                   11

Meiningen                 527

Neubrunn                   9

Oberhof                   18

Obermaßfeld-Grimmenthal   29

Oberweid                  12

Rhönblick                 75

Rippershausen             13

Ritschenhausen             6

Rohr                      17

Rosa                       8

Roßdorf                    5

Schmalkalden              347

Schwallungen              32

Schwarza                  19

Steinbach-Hallenberg      158

Sülzfeld                  25

Untermaßfeld              25

Utendorf                   4

Vachdorf                  10
Wasungen          88

Zella-Mehlis     214

Gesamtergebnis   2.163

