Landkreis Schmalkalden-Meiningen
Dienstag, 01. März 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            01.03.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          225
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          28.435
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      18
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     19
Verstorbene im Zusammenhang mit COVID19                                                          603
Gesamtzahl abgelaufener Quarantänezeitraum                                                      26.036
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1228,3
Hospitalisierungsinzidenz laut TMASGFF                                                           18,5
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 7,6
Aktuelle Warnstufe laut TMASGFF                                                             Basisstufe *
Quarantänefälle

aktive positive Fälle                                                                           1.796

         * laut Maßnahmenschutzverordnung




         Aktive Fälle nach Gemeinden

         Belrieth                                  5
         Birx                                      2
         Breitungen/Werra                          50
         Brotterode-Trusetal                       54

         Christes                                  5
         Dillstädt                                 7
         Einhausen                                 4
         Erbenhausen                               11
Fambach                    26
Floh-Seligenthal           69
Frankenheim/Rhön           10
Friedelshausen             6

Grabfeld                  123
Kaltennordheim             64
Kühndorf                   23
Leutersdorf                1
Mehmels                    5
Meiningen                 407
Neubrunn                   9
Oberhof                    14
Obermaßfeld-Grimmenthal    24
Oberweid                   6
Rhönblick                  40
Rippershausen              3
Ritschenhausen             3

Rohr                       10

Rosa                       8
Roßdorf                    9
Schmalkalden              254

Schwallungen               28
Schwarza                   24
Steinbach-Hallenberg      189
Sülzfeld                   19

Untermaßfeld               30
Utendorf                   2
Vachdorf                   10

Wasungen                   63
Zella-Mehlis              179
Gesamtergebnis            1.796

