Landkreis Schmalkalden-Meiningen
Mittwoch, 09. März 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            09.03.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          486
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          30.936
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      23
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     26
Verstorbene im Zusammenhang mit COVID19                                                          615
Gesamtzahl abgelaufener Quarantänezeitraum                                                      27.838
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1324,8
Hospitalisierungsinzidenz laut TMASGFF                                                           30,6
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 7,7
Aktuelle Warnstufe laut TMASGFF                                                             Basisstufe *
Quarantänefälle

aktive positive Fälle                                                                           2.483

         * laut Maßnahmenschutzverordnung




         Aktive Fälle nach Gemeinden

         Belrieth                                  6

         Birx                                      4
         Breitungen/Werra                        104
         Brotterode-Trusetal                       91

         Christes                                  16
         Dillstädt                                 21
         Einhausen                                 1
         Ellingshausen                             1
Erbenhausen                12

Fambach                    34
Floh-Seligenthal          109
Frankenheim/Rhön           6

Friedelshausen             2
Grabfeld                  108
Kaltennordheim             96
Kühndorf                   35

Mehmels                    3
Meiningen                 558
Neubrunn                   23

Oberhof                    31
Obermaßfeld-Grimmenthal    20
Oberweid                   11
Rhönblick                  36

Rippershausen              9
Ritschenhausen             20

Rohr                       15

Rosa                       4
Roßdorf                    4
Schmalkalden              339

Schwallungen               24
Schwarza                   20
Steinbach-Hallenberg      250
Sülzfeld                   25

Untermaßfeld               30
Utendorf                   18
Vachdorf                   16
Zella-Mehlis              283
Gesamtergebnis            2.483

