Landkreis Schmalkalden-Meiningen
Donnerstag, 17. März 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            17.03.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          450
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          33.881
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      23
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     28
Verstorbene im Zusammenhang mit COVID19                                                          617
Gesamtzahl abgelaufener Quarantänezeitraum                                                      29.984
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1657,3
Hospitalisierungsinzidenz laut TMASGFF                                                           22,5
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 9,5
Aktuelle Warnstufe laut TMASGFF                                                             Basisstufe *
Quarantänefälle

aktive positive Fälle                                                                           3.280

         * laut Maßnahmenschutzverordnung


         Aktive Fälle nach Gemeinden

         Belrieth                                         7

         Birx                                             1

         Breitungen/Werra                                166

         Brotterode-Trusetal                             135

         Christes                                         24

         Dillstädt                                        25

         Einhausen                                        9

         Ellingshausen                                    3
Erbenhausen                8

Fambach                   48

Floh-Seligenthal          160

Frankenheim/Rhön          10

Friedelshausen             8

Grabfeld                  133

Kaltennordheim            109

Kühndorf                  58

Leutersdorf                2

Mehmels                    5

Meiningen                 720

Neubrunn                   9

Oberhof                   31

Obermaßfeld-Grimmenthal   21

Oberweid                  10

Rhönblick                 67

Rippershausen             17

Ritschenhausen             5

Rohr                      23

Rosa                       6

Roßdorf                    7

Schmalkalden              476

Schwallungen              34

Schwarza                  46

Steinbach-Hallenberg      283

Sülzfeld                  31

Untermaßfeld              45

Utendorf                  15
Vachdorf          15

Wasungen         137

Zella-Mehlis     371
Gesamtergebnis   3.280

