Landkreis Schmalkalden-Meiningen
Dienstag, 05. April 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            05.04.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          113
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          39.572
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      32
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     29
Verstorbene im Zusammenhang mit COVID19                                                          633
Gesamtzahl abgelaufener Quarantänezeitraum                                                      37.165
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1130,9
Hospitalisierungsinzidenz laut TMASGFF                                                           33,8
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 10,6
Quarantänefälle

aktive positive Fälle                                                                           1.774




         Aktive Fälle nach Gemeinden
         Belrieth                                  5
         Breitungen/Werra                          70

         Brotterode-Trusetal                     112
         Christes                                  10
         Dillstädt                                 5
         Einhausen                                 4

         Ellingshausen                             1
         Erbenhausen                               4
         Fambach                                   13
         Floh-Seligenthal                          72

         Frankenheim/Rhön                          9
Friedelshausen             1
Grabfeld                   83
Kaltennordheim             70
Kühndorf                   7
Leutersdorf                4
Mehmels                    1
Meiningen                 448
Neubrunn                   7
Oberhof                    11
Obermaßfeld-Grimmenthal    17
Oberweid                   1

Rhönblick                  40
Rippershausen              15
Ritschenhausen             3

Rohr                       10
Rosa                       21
Roßdorf                    10
Schmalkalden              231

Schwallungen               40
Schwarza                   26
Steinbach-Hallenberg      128

Sülzfeld                   10
Untermaßfeld               14
Utendorf                   4
Vachdorf                   11
Wasungen                  105
Zella-Mehlis              151
Gesamtergebnis            1.774

