Landkreis Schmalkalden-Meiningen
Freitag, 08. April 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            08.04.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          223
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          40.317
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      34
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     28
Verstorbene im Zusammenhang mit COVID19                                                          634
Gesamtzahl abgelaufener Quarantänezeitraum                                                      37.853
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            831,4
Hospitalisierungsinzidenz laut TMASGFF                                                           22,5
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 11,1
Quarantänefälle

aktive positive Fälle                                                                           1.830




         Aktive Fälle nach Gemeinden

         Belrieth                                  5

         Birx                                      1

         Breitungen/Werra                          74

         Brotterode-Trusetal                     142

         Christes                                  8

         Dillstädt                                 15

         Einhausen                                 3

         Ellingshausen                             1

         Erbenhausen                               6
Fambach                   22

Floh-Seligenthal          82

Frankenheim/Rhön          14

Friedelshausen            4

Grabfeld                  91

Kaltennordheim            90

Kühndorf                  4

Leutersdorf               5

Mehmels                   8

Meiningen                 447

Neubrunn                  11

Oberhof                   8

Obermaßfeld-Grimmenthal   10

Oberweid                  3

Rhönblick                 33

Rippershausen             13

Ritschenhausen            2

Rohr                      7

Rosa                      18

Roßdorf                   11

Schmalkalden              221

Schwallungen              33

Schwarza                  23

Steinbach-Hallenberg      118

Sülzfeld                  10

Untermaßfeld              20

Utendorf                  7

Vachdorf                  7
Wasungen         108

Zella-Mehlis     145

Gesamtergebnis   1.830

